"","countryname","countrycode","regionname","regioncode","jurisdiction","date","c1_school closing","c1_flag","c2_workplace closing","c2_flag","c3_cancel public events","c3_flag","c4_restrictions on gatherings","c4_flag","c5_close public transport","c5_flag","c6_stay at home requirements","c6_flag","c7_restrictions on internal movement","c7_flag","c8_international travel controls","e1_income support","e1_flag","e2_debt/contract relief","e3_fiscal measures","e4_international support","h1_public information campaigns","h1_flag","h2_testing policy","h3_contact tracing","h4_emergency investment in healthcare","h5_investment in vaccines","h6_facial coverings","h6_flag","h7_vaccination policy","h7_flag","h8_protection of elderly people","h8_flag","m1_wildcard","confirmedcases","confirmeddeaths","stringencyindex","stringencyindexfordisplay","stringencylegacyindex","stringencylegacyindexfordisplay","governmentresponseindex","governmentresponseindexfordisplay","containmenthealthindex","containmenthealthindexfordisplay","economicsupportindex","economicsupportindexfordisplay","phsm_change"
"1","Afghanistan","AFG",NA,NA,"NAT_TOTAL",2020-03-25,3,1,3,0,2,1,0,NA,0,NA,2,0,1,0,3,0,NA,0,0,0,2,1,1,1,0,0,0,NA,0,NA,3,0,NA,76,2,59.26,59.26,71.43,71.43,43.75,43.75,50,50,0,0,"increase"
"2","Afghanistan","AFG",NA,NA,"NAT_TOTAL",2020-08-26,2,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,NA,0,0,0,2,1,3,2,0,0,3,1,0,NA,3,1,NA,38103,1402,21.3,21.3,28.57,28.57,35.42,35.42,40.48,40.48,0,0,"decrease"
"3","Albania","ALB",NA,NA,"NAT_TOTAL",2020-03-13,3,1,2,1,2,1,2,1,2,0,2,1,2,1,2,0,NA,0,0,0,2,1,1,1,0,0,0,NA,0,NA,3,1,NA,33,1,78.7,78.7,84.52,84.52,55.73,55.73,63.69,63.69,0,0,"increase"
"4","Albania","ALB",NA,NA,"NAT_TOTAL",2020-06-01,2,1,2,1,2,1,4,1,2,1,1,1,0,NA,3,1,1,2,382052000,0,2,1,1,2,0,0,0,NA,0,NA,3,1,NA,1143,33,71.3,71.3,82.14,82.14,64.06,64.06,62.5,62.5,75,75,"decrease"
"5","Albania","ALB",NA,NA,"NAT_TOTAL",2020-11-12,1,1,2,1,2,1,4,1,0,NA,2,1,2,1,1,1,1,1,0,0,2,1,2,2,0,0,4,1,0,NA,3,1,NA,26211,598,65.74,65.74,64.29,64.29,66.15,66.15,68.45,68.45,50,50,"increase"
"6","Algeria","DZA",NA,NA,"NAT_TOTAL",2020-03-23,3,1,2,1,2,1,0,NA,2,1,3,0,2,0,4,0,NA,0,0,0,1,1,1,0,0,0,0,NA,0,NA,3,0,NA,230,17,75,75,88.1,88.1,49.48,49.48,56.55,56.55,0,0,"increase"
"7","Algeria","DZA",NA,NA,"NAT_TOTAL",2020-04-24,3,1,2,1,2,1,3,1,2,1,2,0,0,NA,4,1,0,1,0,0,2,1,1,0,0,0,0,NA,0,NA,2,0,NA,3127,415,76.85,76.85,89.29,89.29,53.12,53.12,55.36,55.36,37.5,37.5,"decrease"
"8","Andorra","AND",NA,NA,"NAT_TOTAL",2020-03-13,0,NA,0,NA,1,1,0,NA,0,NA,1,1,0,NA,0,2,1,0,0,0,0,NA,1,0,0,0,2,1,0,NA,0,NA,NA,1,0,9.26,9.26,16.67,16.67,16.67,16.67,11.9,11.9,50,50,"increase"
"9","Andorra","AND",NA,NA,"NAT_TOTAL",2020-07-07,1,1,2,1,2,1,3,1,1,1,0,NA,0,NA,2,2,1,2,0,0,0,NA,2,1,0,0,2,1,0,NA,2,1,NA,855,52,41.67,41.67,48.81,48.81,50.52,50.52,43.45,43.45,100,100,"decrease"
"10","Angola","AGO",NA,NA,"NAT_TOTAL",2020-03-27,3,1,3,1,2,1,4,1,2,1,2,1,2,1,4,0,NA,0,0,0,1,1,1,0,0,0,0,NA,0,NA,0,NA,NA,4,0,90.74,90.74,95.24,95.24,53.12,53.12,60.71,60.71,0,0,"increase"
"11","Angola","AGO",NA,NA,"NAT_TOTAL",2020-05-26,3,1,2,1,2,1,3,1,1,1,1,1,2,0,4,1,1,2,0,0,2,1,2,0,0,0,3,1,0,NA,0,NA,NA,70,4,77.78,77.78,86.9,86.9,61.98,61.98,60.12,60.12,75,75,"decrease"
"12","Angola","AGO",NA,NA,"NAT_TOTAL",2020-07-09,3,1,2,0,2,1,4,0,1,0,2,0,2,0,4,1,1,0,0,0,2,1,2,0,0,0,4,1,0,NA,0,NA,NA,396,22,76.39,76.39,78.57,78.57,56.51,56.51,61.01,61.01,25,25,"increase"
"13","Angola","AGO",NA,NA,"NAT_TOTAL",2020-09-16,3,1,2,1,2,1,4,1,1,1,1,1,2,0,2,0,NA,1,0,0,2,1,2,0,0,0,3,1,0,NA,0,NA,NA,3675,143,75,75,79.76,79.76,54.17,54.17,58.33,58.33,25,25,"decrease"
"14","Argentina","ARG",NA,NA,"NAT_TOTAL",2020-03-19,3,1,3,1,2,0,4,1,0,NA,3,1,0,NA,4,0,NA,0,0,0,2,1,1,2,0,0,0,NA,0,NA,3,1,NA,97,3,75,75,85.71,85.71,56.77,56.77,64.88,64.88,0,0,"increase"
"15","Argentina","ARG",NA,NA,"NAT_TOTAL",2020-04-27,3,1,3,0,2,1,4,1,2,1,2,1,1,1,4,1,1,2,0,0,2,1,1,2,0,0,3,1,0,NA,3,1,NA,4003,197,88.89,88.89,92.86,92.86,78.65,78.65,79.17,79.17,75,75,"decrease"
"16","Aruba","ABW",NA,NA,"NAT_TOTAL",2020-03-21,3,1,2,1,0,NA,0,NA,0,NA,1,1,0,NA,4,0,NA,0,0,0,2,1,1,1,0,0,0,NA,0,NA,1,1,NA,5,0,44.44,44.44,60.71,60.71,32.29,32.29,36.9,36.9,0,0,"increase"
"17","Aruba","ABW",NA,NA,"NAT_TOTAL",2020-03-29,3,1,3,1,2,1,4,1,0,NA,2,1,2,1,4,0,NA,0,0,0,2,1,1,1,0,0,0,NA,0,NA,1,1,NA,50,0,85.19,85.19,85.71,85.71,55.21,55.21,63.1,63.1,0,0,"increase"
"18","Aruba","ABW",NA,NA,"NAT_TOTAL",2020-04-10,3,1,3,1,2,1,4,1,0,NA,3,1,2,1,4,2,0,2,0,0,2,1,1,1,0,0,0,NA,0,NA,1,1,NA,86,0,88.89,88.89,85.71,85.71,68.23,68.23,65.48,65.48,87.5,87.5,"increase"
"19","Aruba","ABW",NA,NA,"NAT_TOTAL",2020-04-11,3,1,3,1,2,1,4,1,0,NA,2,1,2,1,4,2,0,2,0,0,2,1,1,1,0,0,0,NA,0,NA,1,1,NA,92,0,85.19,85.19,85.71,85.71,66.15,66.15,63.1,63.1,87.5,87.5,"decrease"
"20","Aruba","ABW",NA,NA,"NAT_TOTAL",2020-04-12,3,1,3,1,2,1,4,1,0,NA,3,1,2,1,4,2,0,2,0,0,2,1,1,1,0,0,0,NA,0,NA,1,1,NA,92,0,88.89,88.89,85.71,85.71,68.23,68.23,65.48,65.48,87.5,87.5,"increase"
"21","Aruba","ABW",NA,NA,"NAT_TOTAL",2020-04-14,3,1,3,1,2,1,4,1,0,NA,2,1,2,1,4,2,0,2,0,0,2,1,1,1,0,0,0,NA,0,NA,1,1,NA,92,0,85.19,85.19,85.71,85.71,66.15,66.15,63.1,63.1,87.5,87.5,"decrease"
"22","Aruba","ABW",NA,NA,"NAT_TOTAL",2020-05-28,2,1,2,1,2,1,0,NA,0,NA,1,1,2,1,4,2,0,2,0,0,2,1,1,1,0,0,0,NA,0,NA,1,1,NA,101,3,62.96,62.96,78.57,78.57,53.65,53.65,48.81,48.81,87.5,87.5,"decrease"
"23","Aruba","ABW",NA,NA,"NAT_TOTAL",2020-08-28,3,1,2,1,2,1,4,0,0,NA,2,1,1,1,3,1,0,2,0,0,2,1,2,1,0,0,3,1,0,NA,3,1,NA,1906,9,71.76,71.76,75,75,66.41,66.41,66.96,66.96,62.5,62.5,"increase"
"24","Aruba","ABW",NA,NA,"NAT_TOTAL",2020-10-22,2,1,0,NA,2,0,4,1,0,NA,0,NA,0,NA,1,1,0,2,0,0,2,1,2,1,0,0,2,1,0,NA,3,1,NA,4389,36,40.74,40.74,42.86,42.86,47.4,47.4,45.24,45.24,62.5,62.5,"decrease"
"25","Aruba","ABW",NA,NA,"NAT_TOTAL",2020-12-01,0,NA,0,NA,1,0,3,1,0,NA,1,1,0,NA,1,1,0,2,0,0,2,1,2,1,0,0,3,1,0,NA,3,1,NA,4872,45,28.7,28.7,36.43,36.43,42.19,42.19,39.29,39.29,62.5,62.5,"increase"
"26","Aruba","ABW",NA,NA,"NAT_TOTAL",2021-01-01,0,NA,0,NA,1,1,3,1,0,NA,2,1,0,NA,1,0,NA,0,0,0,2,1,2,1,0,0,3,1,0,NA,3,1,NA,5509,49,35.19,35.19,40,40,38.02,38.02,43.45,43.45,0,0,"increase"
"27","Aruba","ABW",NA,NA,"NAT_TOTAL",2021-01-14,0,NA,0,NA,2,1,3,1,0,NA,1,1,0,NA,1,0,NA,0,0,0,2,1,2,1,0,0,3,1,0,NA,3,1,NA,6296,52,37.04,37.04,39.29,39.29,39.06,39.06,44.64,44.64,0,0,"decrease"
"28","Aruba","ABW",NA,NA,"NAT_TOTAL",2021-01-19,0,NA,0,NA,2,1,3,1,0,NA,2,1,0,NA,1,0,NA,0,0,0,2,1,2,1,0,0,3,1,0,NA,3,1,NA,6523,52,40.74,40.74,42.86,42.86,41.15,41.15,47.02,47.02,0,0,"increase"
"29","Australia","AUS",NA,NA,"NAT_TOTAL",2020-03-24,3,0,2,0,2,1,3,1,0,NA,1,1,2,0,4,1,1,0,0,0,2,1,1,2,0,0,0,NA,0,NA,1,1,NA,2044,8,68.52,68.52,70.24,70.24,52.08,52.08,55.95,55.95,25,25,"increase"
"30","Australia","AUS",NA,NA,"NAT_TOTAL",2020-04-02,3,0,2,0,2,1,4,1,0,NA,2,0,2,0,4,1,1,2,970999874,0,2,1,1,2,0,0,0,NA,0,NA,2,0,NA,5116,24,73.15,73.15,70.24,70.24,61.98,61.98,60.12,60.12,75,75,"increase"
"31","Australia","AUS",NA,NA,"NAT_TOTAL",2020-05-15,2,0,1,1,2,1,4,1,0,NA,1,1,2,0,4,1,1,2,0,0,2,1,3,2,0,0,0,NA,0,NA,1,1,NA,7035,98,65.74,65.74,66.67,66.67,60.94,60.94,58.93,58.93,75,75,"decrease"
"32","Australia","AUS",NA,NA,"NAT_TOTAL",2020-05-29,2,0,1,1,2,1,4,0,1,0,0,NA,2,0,4,1,1,2,0,185925761,2,1,3,2,0,0,0,NA,0,NA,0,NA,NA,7184,103,63.43,63.43,71.43,71.43,57.55,57.55,55.06,55.06,75,75,"decrease"
"33","Australia","AUS",NA,NA,"NAT_TOTAL",2020-07-01,3,0,2,0,2,0,3,0,1,0,2,0,2,0,4,1,1,2,0,0,2,1,3,2,0,0,0,NA,0,NA,2,0,NA,8001,104,68.98,68.98,70.24,70.24,63.8,63.8,62.2,62.2,75,75,"increase"
"34","Australia","AUS",NA,NA,"NAT_TOTAL",2020-07-08,3,0,2,0,2,0,4,0,1,0,3,0,2,0,4,1,1,2,0,0,2,1,3,2,0,0,0,NA,0,NA,3,0,NA,9056,106,75.46,75.46,73.33,73.33,69.53,69.53,68.75,68.75,75,75,"increase"
"35","Australia","AUS",NA,NA,"NAT_TOTAL",2020-07-16,2,0,2,0,2,0,4,0,1,0,2,0,2,0,4,1,1,2,0,0,2,1,3,2,0,0,1,0,0,NA,2,0,NA,11233,116,68.06,68.06,68.57,68.57,64.06,64.06,62.5,62.5,75,75,"decrease"
"36","Australia","AUS",NA,NA,"NAT_TOTAL",2020-10-28,1,0,1,0,1,0,3,0,1,0,1,0,2,0,4,1,1,2,0,0,2,1,3,2,0,0,4,0,0,NA,1,0,NA,27565,907,48.61,48.61,58.57,58.57,55.73,55.73,52.98,52.98,75,75,"decrease"
"37","Australia","AUS",NA,NA,"NAT_TOTAL",2020-12-19,1,0,3,0,2,0,4,0,1,0,2,0,2,1,4,1,1,2,0,0,2,1,2,2,0,0,2,0,0,NA,2,0,NA,28168,908,70.83,70.83,73.33,73.33,65.1,65.1,63.69,63.69,75,75,"increase"
"38","Australia","AUS",NA,NA,"NAT_TOTAL",2021-01-11,1,0,1,0,1,1,4,0,1,0,0,NA,2,1,4,1,1,1,0,0,2,1,2,2,0,0,2,1,0,NA,2,1,NA,28634,909,55.09,55.09,66.19,66.19,54.95,54.95,55.65,55.65,50,50,"decrease"
"39","Australia","AUS",NA,NA,"NAT_TOTAL",2021-01-31,1,0,3,0,2,0,4,0,1,0,2,0,2,1,4,1,1,1,0,0,2,1,2,2,0,0,3,0,0,NA,3,0,NA,28818,909,70.83,70.83,73.33,73.33,65.62,65.62,67.86,67.86,50,50,"increase"
"40","Australia","AUS",NA,NA,"NAT_TOTAL",2021-02-05,3,0,2,0,1,1,3,0,1,0,0,NA,2,1,4,1,1,1,0,0,2,1,2,2,0,0,3,0,0,NA,2,1,NA,28848,909,63.43,63.43,75,75,60.42,60.42,61.9,61.9,50,50,"decrease"
"41","Australia","AUS",NA,NA,"NAT_TOTAL",2021-02-12,1,0,3,0,2,0,4,0,1,0,3,0,2,1,4,1,1,1,0,0,2,1,2,2,0,0,4,0,0,NA,3,0,NA,28892,909,74.54,74.54,73.33,73.33,69.27,69.27,72.02,72.02,50,50,"increase"
"42","Australia","AUS",NA,NA,"NAT_TOTAL",2021-02-18,1,0,2,0,1,0,4,0,1,0,0,NA,2,0,4,1,1,1,0,0,2,1,2,2,0,0,3,0,0,NA,3,0,NA,28918,909,53.24,53.24,65,65,55.73,55.73,56.55,56.55,50,50,"decrease"
"43","Austria","AUT",NA,NA,"NAT_TOTAL",2020-03-16,2,1,3,1,2,1,4,1,1,1,2,1,2,0,3,0,NA,2,0,0,2,1,1,1,0,0,0,NA,0,NA,2,1,NA,1018,3,81.48,81.48,84.52,84.52,61.46,61.46,63.1,63.1,50,50,"increase"
"44","Austria","AUT",NA,NA,"NAT_TOTAL",2020-05-01,2,1,2,1,2,1,4,1,1,1,0,NA,1,1,3,2,0,2,0,0,2,1,2,2,0,0,2,1,0,NA,0,NA,NA,15531,589,67.59,67.59,79.76,79.76,62.5,62.5,58.93,58.93,87.5,87.5,"decrease"
"45","Austria","AUT",NA,NA,"NAT_TOTAL",2020-09-29,1,0,1,0,1,1,3,1,0,NA,1,1,0,NA,3,2,0,2,0,0,2,1,3,2,0,0,3,1,0,NA,0,NA,NA,44041,796,40.74,40.74,50.71,50.71,51.04,51.04,45.83,45.83,87.5,87.5,"increase"
"46","Austria","AUT",NA,NA,"NAT_TOTAL",2020-10-17,1,0,2,0,2,0,4,0,0,NA,2,0,2,0,3,2,0,2,0,0,2,1,3,2,0,0,3,1,0,NA,3,0,NA,63134,889,58.8,58.8,56.67,56.67,66.41,66.41,63.39,63.39,87.5,87.5,"increase"
"47","Azerbaijan","AZE",NA,NA,"NAT_TOTAL",2020-03-31,3,1,3,1,2,1,4,1,1,0,3,1,2,1,3,0,NA,0,0,0,2,1,2,2,0,0,0,NA,0,NA,3,1,NA,298,5,88.89,88.89,86.9,86.9,66.67,66.67,76.19,76.19,0,0,"increase"
"48","Azerbaijan","AZE",NA,NA,"NAT_TOTAL",2020-05-18,3,1,2,1,2,1,4,1,0,NA,1,1,2,1,4,2,1,0,0,0,2,1,2,2,0,0,0,NA,0,NA,1,1,NA,3387,40,77.78,77.78,82.14,82.14,62.5,62.5,64.29,64.29,50,50,"decrease"
"49","Azerbaijan","AZE",NA,NA,"NAT_TOTAL",2020-06-03,3,1,2,1,2,1,4,1,0,NA,3,1,2,1,4,2,1,0,0,0,2,1,2,2,0,0,3,1,0,NA,1,1,NA,6260,76,85.19,85.19,82.14,82.14,71.35,71.35,74.4,74.4,50,50,"increase"
"50","Azerbaijan","AZE",NA,NA,"NAT_TOTAL",2020-06-08,3,1,2,1,2,1,4,1,0,NA,1,1,2,1,4,2,1,0,0,0,2,1,2,2,0,0,3,1,0,NA,1,1,NA,7876,93,77.78,77.78,82.14,82.14,67.19,67.19,69.64,69.64,50,50,"decrease"
"51","Azerbaijan","AZE",NA,NA,"NAT_TOTAL",2020-06-14,3,1,2,1,2,1,4,1,0,NA,3,0,2,1,4,2,1,0,0,0,2,1,2,2,0,0,3,1,0,NA,1,1,NA,9957,119,83.33,83.33,82.14,82.14,70.31,70.31,73.21,73.21,50,50,"increase"
"52","Azerbaijan","AZE",NA,NA,"NAT_TOTAL",2020-06-17,3,1,2,1,2,1,4,1,0,NA,1,1,2,1,4,2,1,0,0,0,2,1,2,2,0,0,3,1,0,NA,1,1,NA,10991,133,77.78,77.78,82.14,82.14,67.19,67.19,69.64,69.64,50,50,"decrease"
"53","Azerbaijan","AZE",NA,NA,"NAT_TOTAL",2020-06-21,3,1,2,1,2,1,4,1,2,1,3,1,2,1,4,2,1,0,0,0,2,1,2,2,0,0,3,1,0,NA,2,0,NA,12729,154,96.3,96.3,96.43,96.43,78.65,78.65,82.74,82.74,50,50,"increase"
"54","Azerbaijan","AZE",NA,NA,"NAT_TOTAL",2020-08-10,3,1,2,1,2,1,4,1,2,0,2,0,2,0,4,2,1,0,0,0,2,1,2,2,0,0,3,1,0,NA,1,0,NA,33647,492,85.19,85.19,86.9,86.9,70.31,70.31,73.21,73.21,50,50,"decrease"
"55","Azerbaijan","AZE",NA,NA,"NAT_TOTAL",2020-09-18,2,1,2,0,2,0,4,1,1,1,1,0,2,0,4,2,1,0,0,0,2,1,2,2,0,0,3,1,0,NA,1,0,NA,38894,572,70.37,70.37,79.76,79.76,61.98,61.98,63.69,63.69,50,50,"decrease"
"56","Azerbaijan","AZE",NA,NA,"NAT_TOTAL",2020-12-11,3,1,3,0,2,0,4,0,1,1,2,0,2,0,4,1,0,0,0,0,2,1,2,2,0,0,3,1,0,NA,1,1,NA,167155,1840,80.09,80.09,84.05,84.05,63.8,63.8,71.13,71.13,12.5,12.5,"increase"
"57","Azerbaijan","AZE",NA,NA,"NAT_TOTAL",2021-02-04,2,1,1,1,2,1,4,1,2,1,1,1,0,NA,4,1,1,1,0,0,2,1,2,2,0,0,4,1,1,1,1,1,NA,230769,3148,70.37,70.37,82.14,82.14,65.83,65.83,68.1,68.1,50,50,"decrease"
"58","Bahamas","BHS",NA,NA,"NAT_TOTAL",2020-03-20,3,1,3,1,2,1,4,1,2,1,2,1,0,NA,0,0,NA,1,0,0,2,1,1,2,0,0,1,1,0,NA,1,1,NA,3,0,74.07,74.07,82.14,82.14,56.77,56.77,61.31,61.31,25,25,"increase"
"59","Bahrain","BHR",NA,NA,"NAT_TOTAL",2020-03-18,3,1,2,1,2,1,3,1,0,NA,1,1,1,1,3,0,NA,1,0,0,2,1,2,2,0,0,0,NA,0,NA,0,NA,NA,256,1,66.67,66.67,73.81,73.81,51.04,51.04,54.76,54.76,25,25,"increase"
"60","Bahrain","BHR",NA,NA,"NAT_TOTAL",2020-08-23,3,1,2,1,2,1,4,1,0,NA,0,NA,0,NA,3,2,0,2,0,0,2,1,3,2,0,0,3,1,0,NA,2,1,NA,49330,184,60.19,60.19,64.29,64.29,66.15,66.15,63.1,63.1,87.5,87.5,"decrease"
"61","Bahrain","BHR",NA,NA,"NAT_TOTAL",2020-09-17,2,1,2,1,2,1,4,1,0,NA,2,1,0,NA,3,2,0,2,0,0,2,1,3,2,0,0,3,1,0,NA,2,1,NA,63189,217,63.89,63.89,71.43,71.43,68.23,68.23,65.48,65.48,87.5,87.5,"increase"
"62","Bahrain","BHR",NA,NA,"NAT_TOTAL",2020-12-14,1,1,2,1,2,1,4,1,0,NA,1,1,0,NA,1,2,0,2,0,0,2,1,3,2,0,0,3,1,0,NA,2,1,NA,89268,348,50.93,50.93,57.14,57.14,60.94,60.94,57.14,57.14,87.5,87.5,"decrease"
"63","Bahrain","BHR",NA,NA,"NAT_TOTAL",2021-01-19,1,1,2,1,2,1,4,1,0,NA,2,1,0,NA,1,2,0,2,0,0,2,1,3,2,0,0,3,1,5,1,2,1,NA,98260,362,54.63,54.63,60.71,60.71,69.27,69.27,66.67,66.67,87.5,87.5,"increase"
"64","Bahrain","BHR",NA,NA,"NAT_TOTAL",2021-01-26,1,1,2,1,2,1,4,1,0,NA,1,1,0,NA,1,2,0,2,0,0,2,1,3,2,0,0,3,1,5,1,2,1,NA,100689,370,50.93,50.93,57.14,57.14,67.19,67.19,64.29,64.29,87.5,87.5,"decrease"
"65","Bangladesh","BGD",NA,NA,"NAT_TOTAL",2020-03-19,3,1,3,0,1,1,4,1,2,0,2,0,2,0,2,0,NA,1,0,0,2,1,2,1,0,0,0,NA,0,NA,0,NA,NA,17,1,75.93,75.93,79.76,79.76,53.13,53.13,57.14,57.14,25,25,"increase"
"66","Bangladesh","BGD",NA,NA,"NAT_TOTAL",2020-03-25,3,1,3,0,2,1,4,1,2,0,1,1,2,1,2,0,NA,1,5.95e+08,0,2,1,2,1,0,0,0,NA,0,NA,0,NA,NA,39,5,82.41,82.41,84.52,84.52,56.77,56.77,61.31,61.31,25,25,"decrease"
"67","Bangladesh","BGD",NA,NA,"NAT_TOTAL",2020-04-10,3,1,3,1,2,1,4,1,2,0,2,1,2,1,3,0,NA,2,0,0,2,1,2,1,0,0,0,NA,0,NA,0,NA,NA,424,27,90.74,90.74,91.67,91.67,64.58,64.58,66.67,66.67,50,50,"increase"
"68","Bangladesh","BGD",NA,NA,"NAT_TOTAL",2020-05-31,3,1,1,1,2,1,3,1,1,1,1,1,0,NA,3,0,NA,2,0,0,2,1,2,1,0,0,4,1,0,NA,0,NA,NA,47153,650,62.96,62.96,77.38,77.38,55.21,55.21,55.95,55.95,50,50,"decrease"
"69","Bangladesh","BGD",NA,NA,"NAT_TOTAL",2020-06-16,3,1,1,1,2,1,4,0,1,1,2,0,2,0,3,0,NA,2,0,0,2,1,2,1,0,0,4,1,0,NA,0,NA,NA,94481,1262,74.54,74.54,79.76,79.76,61.72,61.72,63.39,63.39,50,50,"increase"
"70","Bangladesh","BGD",NA,NA,"NAT_TOTAL",2021-01-26,3,1,3,0,2,0,4,0,2,0,3,0,2,0,2,0,NA,2,0,0,2,1,3,1,0,0,4,1,0,NA,3,0,NA,532916,8055,81.02,81.02,78.1,78.1,72.66,72.66,75.89,75.89,50,50,"increase"
"71","Barbados","BRB",NA,NA,"NAT_TOTAL",2020-03-28,3,1,3,1,2,1,3,1,0,NA,1,1,2,1,2,0,NA,0,0,0,2,1,1,2,0,0,0,NA,0,NA,2,1,NA,26,0,73.15,73.15,78.57,78.57,53.65,53.65,61.31,61.31,0,0,"increase"
"72","Barbados","BRB",NA,NA,"NAT_TOTAL",2020-04-03,3,1,3,1,2,1,4,1,0,NA,3,1,2,1,2,1,0,1,0,0,2,1,1,2,0,0,0,NA,0,NA,2,1,NA,51,0,83.33,83.33,78.57,78.57,64.06,64.06,67.86,67.86,37.5,37.5,"increase"
"73","Barbados","BRB",NA,NA,"NAT_TOTAL",2020-05-04,3,1,2,1,2,1,4,1,1,1,2,1,2,1,2,1,0,1,0,0,2,1,2,2,0,0,2,1,0,NA,2,1,NA,82,7,81.48,81.48,84.52,84.52,68.23,68.23,72.62,72.62,37.5,37.5,"decrease"
"74","Barbados","BRB",NA,NA,"NAT_TOTAL",2020-07-01,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,0,1,0,0,2,1,2,2,0,0,2,1,0,NA,2,1,NA,97,7,57.41,57.41,71.43,71.43,54.69,54.69,57.14,57.14,37.5,37.5,"decrease"
"75","Barbados","BRB",NA,NA,"NAT_TOTAL",2020-08-21,2,1,1,1,1,1,0,NA,1,1,0,NA,0,NA,2,1,0,2,0,0,2,1,2,2,0,0,2,1,0,NA,2,1,NA,157,7,38.89,38.89,58.33,58.33,47.4,47.4,45.24,45.24,62.5,62.5,"decrease"
"76","Barbados","BRB",NA,NA,"NAT_TOTAL",2020-12-31,1,1,1,1,1,1,2,1,1,1,2,1,0,NA,2,1,0,1,0,0,2,1,2,2,0,0,2,1,0,NA,2,1,NA,383,7,48.15,48.15,65.48,65.48,49.48,49.48,51.19,51.19,37.5,37.5,"increase"
"77","Belgium","BEL",NA,NA,"NAT_TOTAL",2020-03-18,2,1,3,1,2,1,4,1,0,NA,2,1,2,1,1,2,0,1,2.6e+08,0,2,1,1,1,0,0,0,NA,0,NA,2,0,NA,1486,14,73.15,73.15,71.43,71.43,57.29,57.29,56.55,56.55,62.5,62.5,"increase"
"78","Belgium","BEL",NA,NA,"NAT_TOTAL",2020-06-08,2,0,2,1,2,1,3,1,0,NA,0,NA,0,NA,3,2,0,2,0,0,2,1,2,2,0,0,2,1,0,NA,2,1,NA,59348,9606,51.85,51.85,57.14,57.14,57.81,57.81,53.57,53.57,87.5,87.5,"decrease"
"79","Belgium","BEL",NA,NA,"NAT_TOTAL",2020-07-29,1,1,3,0,2,1,4,1,0,NA,2,0,1,0,3,2,0,1,0,0,2,1,2,2,0,0,3,1,0,NA,2,1,NA,67335,9836,62.96,62.96,64.29,64.29,62.5,62.5,62.5,62.5,62.5,62.5,"increase"
"80","Belgium","BEL",NA,NA,"NAT_TOTAL",2020-08-07,1,1,3,0,2,1,4,1,0,NA,1,0,1,0,3,2,0,1,0,0,2,1,2,2,0,0,3,1,0,NA,2,1,NA,72784,9866,59.26,59.26,61.9,61.9,60.42,60.42,60.12,60.12,62.5,62.5,"decrease"
"81","Belgium","BEL",NA,NA,"NAT_TOTAL",2020-08-12,1,1,2,1,2,1,4,1,0,NA,2,0,0,NA,3,2,0,1,0,0,2,1,2,2,0,0,3,1,0,NA,2,1,NA,75647,9900,58.33,58.33,64.29,64.29,59.9,59.9,59.52,59.52,62.5,62.5,"increase"
"82","Belgium","BEL",NA,NA,"NAT_TOTAL",2020-08-27,1,1,2,1,2,1,4,1,0,NA,0,NA,0,NA,3,2,0,1,0,0,2,1,2,2,0,0,3,1,0,NA,2,1,NA,83500,9884,52.78,52.78,57.14,57.14,56.77,56.77,55.95,55.95,62.5,62.5,"decrease"
"83","Belgium","BEL",NA,NA,"NAT_TOTAL",2020-10-19,1,1,2,1,1,1,4,1,0,NA,2,1,0,NA,3,1,0,1,0,0,2,1,2,2,0,0,3,1,0,NA,2,1,NA,230480,10443,54.63,54.63,67.86,67.86,54.69,54.69,57.14,57.14,37.5,37.5,"increase"
"84","Belize","BLZ",NA,NA,"NAT_TOTAL",2020-04-27,3,1,2,1,2,1,3,1,0,NA,2,0,2,1,4,1,1,0,0,0,2,1,1,2,0,0,0,NA,0,NA,1,1,NA,18,2,76.85,76.85,82.14,82.14,56.77,56.77,61.31,61.31,25,25,"increase"
"85","Belize","BLZ",NA,NA,"NAT_TOTAL",2020-07-01,3,1,2,1,2,1,3,1,0,NA,1,1,1,1,4,1,1,0,0,0,2,1,1,2,0,0,3,1,0,NA,1,1,NA,28,2,69.44,69.44,77.38,77.38,57.29,57.29,61.9,61.9,25,25,"decrease"
"86","Belize","BLZ",NA,NA,"NAT_TOTAL",2021-01-26,3,1,2,1,2,1,4,1,0,NA,2,1,2,1,1,1,0,2,0,0,2,1,2,2,0,0,3,1,0,NA,1,1,NA,11788,293,73.15,73.15,71.43,71.43,66.15,66.15,66.67,66.67,62.5,62.5,"increase"
"87","Bermuda","BMU",NA,NA,"NAT_TOTAL",2020-04-04,3,1,3,1,2,1,4,1,2,1,2,1,2,1,4,2,0,0,0,0,2,1,1,2,0,0,1,1,0,NA,1,1,NA,35,0,96.3,96.3,100,100,70.83,70.83,75.6,75.6,37.5,37.5,"increase"
"88","Bermuda","BMU",NA,NA,"NAT_TOTAL",2020-05-02,3,1,3,1,1,1,4,1,1,1,1,1,1,1,4,2,0,0,0,0,2,1,1,2,0,0,1,1,0,NA,1,1,NA,114,7,75.93,75.93,90.48,90.48,59.38,59.38,62.5,62.5,37.5,37.5,"decrease"
