assessment_date,country,iso3,region,population,growth_rate,relative_incidence,net_increases,epi_classification,growth_rate_lower,growth_rate_upper,tpr_recent,tpr_before,tpr_change,tpr_last_date_recent,tpr_last_date_before,vac_oneplus_dose_per_100,vac_full_per_100,vaccinations_date
2021-09-27,Algeria,DZA,AFRO,43851044,-0.056,10.5%,0,Minimal,-0.06,-0.051,,,,,,13.7,9.2,2021-09-25
2021-09-27,Angola,AGO,AFRO,32866272,0.022,119.1%,0,High,0.018,0.026,5.2%,7.0%,decreasing,2021-09-05,2021-08-29,6.5,3.1,2021-09-26
2021-09-27,Benin,BEN,AFRO,12123200,-0.103,26.3%,0,Minimal,-0.108,-0.099,19.1%,7.8%,increasing,2021-09-12,2021-09-05,1.3,0.2,2021-09-15
2021-09-27,Botswana,BWA,AFRO,2351627,-0.033,26.3%,0,Minimal,-0.035,-0.03,,,,,,16.2,9.6,2021-09-22
2021-09-27,Burkina Faso,BFA,AFRO,20903273,0.036,9.8%,0,Minimal,0.018,0.054,3.7%,5.2%,constant,2021-09-26,2021-09-19,1.1,0.8,2021-09-22
2021-09-27,Burundi,BDI,AFRO,11890784,-0.021,53.0%,0,Minimal,-0.026,-0.016,4.0%,3.9%,constant,2021-09-26,2021-09-19,,,
2021-09-27,Cabo Verde,CPV,AFRO,555987,-0.072,13.6%,0,Minimal,-0.08,-0.063,7.7%,7.3%,constant,2021-09-26,2021-09-19,51.1,23.4,2021-09-26
2021-09-27,Cameroon,CMR,AFRO,26545863,-0.056,0.0%,0,Minimal,-0.065,-0.046,,,,,,1.4,0.3,2021-09-27
2021-09-27,Central African Republic,CAF,AFRO,4829767,0.053,0.8%,0,Minimal,0.015,0.093,9.5%,4.4%,increasing,2021-09-26,2021-09-19,2.9,0.2,2021-09-22
2021-09-27,Chad,TCD,AFRO,16425864,,,,,,,0.3%,0.6%,constant,2021-09-26,2021-09-19,0.7,0.2,2021-09-26
2021-09-27,Comoros,COM,AFRO,869601,,,,,,,,,,,,20.1,18.6,2021-09-22
2021-09-27,Congo,COG,AFRO,5518087,0.1,56.6%,3,Very High,0.086,0.115,,,,,,3.9,2.1,2021-09-22
2021-09-27,Côte d'Ivoire,CIV,AFRO,26378274,-0.013,24.3%,0,Minimal,-0.019,-0.008,5.8%,4.9%,increasing,2021-09-19,2021-09-12,,,2021-09-26
2021-09-27,Democratic Republic of the Congo,COD,AFRO,89561403,0.019,15.5%,0,Minimal,0.009,0.03,13.5%,9.6%,increasing,2021-08-15,2021-08-08,0.1,0,2021-09-24
2021-09-27,Equatorial Guinea,GNQ,AFRO,1402985,-0.033,30.1%,1,Minimal,-0.039,-0.026,,,,,,15.6,11.6,2021-09-20
2021-09-27,Eritrea,ERI,AFRO,3546421,0.064,3.7%,1,Minimal,0.015,0.115,,,,,,,,
2021-09-27,Eswatini,SWZ,AFRO,1160164,-0.046,7.3%,0,Minimal,-0.054,-0.037,,,,,,18,17.4,2021-09-24
2021-09-27,Ethiopia,ETH,AFRO,114963588,0.004,58.5%,0,Low,0.002,0.006,15.7%,26.4%,decreasing,2021-09-19,2021-09-12,2.4,0.7,2021-09-26
2021-09-27,Gabon,GAB,AFRO,2225734,0.021,103.2%,2,High,0.015,0.026,5.1%,4.0%,increasing,2021-09-26,2021-09-19,4.5,3.4,2021-09-22
2021-09-27,Gambia,GMB,AFRO,2416668,-0.087,4.4%,0,Minimal,-0.112,-0.062,2.4%,3.3%,constant,2021-09-26,2021-09-19,7.6,7.1,2021-09-21
2021-09-27,Ghana,GHA,AFRO,31072940,-0.057,21.9%,0,Minimal,-0.061,-0.053,8.4%,4.8%,increasing,2021-07-25,2021-07-18,2.8,2.4,2021-09-20
2021-09-27,Guinea,GIN,AFRO,13132795,-0.077,17.1%,1,Minimal,-0.09,-0.065,3.5%,5.3%,decreasing,2021-09-26,2021-09-19,8.9,4.1,2021-09-24
2021-09-27,Guinea-Bissau,GNB,AFRO,1968001,-0.103,4.4%,0,Minimal,-0.128,-0.079,1.9%,4.0%,decreasing,2021-09-26,2021-09-19,4.4,0.4,2021-09-22
2021-09-27,Kenya,KEN,AFRO,53771296,-0.035,20.4%,0,Minimal,-0.039,-0.032,5.7%,6.5%,decreasing,2021-09-26,2021-09-19,5.1,1.7,2021-09-26
2021-09-27,Lesotho,LSO,AFRO,2142249,,0.0%,0,,,,8.5%,8.7%,constant,2021-08-29,2021-08-22,11.6,11.1,2021-09-20
2021-09-27,Liberia,LBR,AFRO,5057681,,-10.8%,0,,,,,,,,,2.1,0.5,2021-08-23
2021-09-27,Madagascar,MDG,AFRO,27691018,0.12,15.7%,1,Medium,0.106,0.135,3.5%,1.3%,increasing,2021-08-29,2021-08-22,0.7,0.7,2021-09-20
2021-09-27,Malawi,MWI,AFRO,19129952,-0.04,2.1%,0,Minimal,-0.053,-0.028,,,,,,4.1,2.6,2021-09-26
2021-09-27,Mali,MLI,AFRO,20250833,0.024,5.8%,0,Minimal,0.003,0.044,0.5%,0.9%,decreasing,2021-09-26,2021-09-19,1.6,1.1,2021-09-27
2021-09-27,Mauritania,MRT,AFRO,4649658,-0.029,11.7%,0,Minimal,-0.037,-0.021,3.7%,4.9%,decreasing,2021-09-26,2021-09-19,6.7,0.5,2021-09-15
2021-09-27,Mauritius,MUS,AFRO,1271768,-0.058,26.1%,0,Minimal,-0.063,-0.052,11.0%,17.6%,decreasing,2021-09-26,2021-09-19,66.5,61.9,2021-09-22
2021-09-27,Mayotte,MYT,AFRO,272815,-0.008,4.7%,3,Low,-0.026,0.011,,,,,,,,
2021-09-27,Mozambique,MOZ,AFRO,31255435,-0.075,3.9%,1,Minimal,-0.081,-0.068,4.4%,7.3%,decreasing,2021-09-26,2021-09-19,6.1,5.6,2021-09-14
2021-09-27,Namibia,NAM,AFRO,2540905,-0.037,4.0%,0,Minimal,-0.045,-0.029,5.5%,7.4%,decreasing,2021-09-19,2021-09-12,9.8,6.3,2021-09-22
2021-09-27,Niger,NER,AFRO,24206644,-0.026,3.6%,0,Minimal,-0.06,0.007,1.0%,1.5%,constant,2021-09-26,2021-09-19,1.7,0.4,2021-08-28
2021-09-27,Nigeria,NGA,AFRO,206139589,-0.057,22.8%,0,Minimal,-0.06,-0.054,,,,,,2.3,0.9,2021-09-25
2021-09-27,Réunion,REU,AFRO,895312,-0.13,9.2%,0,Minimal,-0.137,-0.123,,,,,,,,
2021-09-27,Rwanda,RWA,AFRO,12952218,-0.065,16.2%,0,Minimal,-0.069,-0.062,1.9%,3.5%,decreasing,2021-09-26,2021-09-19,16.2,12.7,2021-09-26
2021-09-27,Saint Helena,SHN,AFRO,6071,,,,,,,,,,,,71.8,58.2,2021-05-05
