"assessment_date","country","iso3","region","population","growth_rate","relative_incidence","net_increases","epi_classification","growth_rate_lower","growth_rate_upper","tpr_recent","tpr_before","tpr_change","tpr_last_date_recent","tpr_last_date_before","vac_oneplus_dose_per_100","vac_full_per_100","vaccinations_date"
"2021-11-22","Algeria","DZA","AFRO",43851044,0.008,"7.7%",0,"Minimal",0.001,0.014,,,,,,14.7,11.2,"2021-11-13"
"2021-11-22","Angola","AGO","AFRO",32866272,-0.051,"2.6%",0,"Minimal",-0.065,-0.038,"6.8%","2.1%","increasing","2021-11-21","2021-11-14",18.1,6.9,"2021-11-18"
"2021-11-22","Benin","BEN","AFRO",12123200,-0.099,"0.3%",0,"Minimal",-0.137,-0.064,"0.4%","0.8%","constant","2021-11-14","2021-11-07",2.5,2.2,"2021-11-08"
"2021-11-22","Botswana","BWA","AFRO",2351627,-0.144,"4.7%",0,"Minimal",-0.148,-0.139,,,,,,35.6,17.8,"2021-11-18"
"2021-11-22","Burkina Faso","BFA","AFRO",20903273,-0.041,"17.4%",1,"Minimal",-0.054,-0.029,"19.5%","7.3%","increasing","2021-10-24","2021-10-17",1.7,1.4,"2021-11-04"
"2021-11-22","Burundi","BDI","AFRO",11890784,0.006,"4.8%",2,"Minimal",-0.014,0.026,"1.2%","0.6%","increasing","2021-11-21","2021-11-14",0,0,"2021-11-15"
"2021-11-22","Cabo Verde","CPV","AFRO",555987,-0.009,"1.3%",0,"Minimal",-0.039,0.021,"1.5%","1.8%","constant","2021-11-21","2021-11-14",53.2,41.6,"2021-11-10"
"2021-11-22","Cameroon","CMR","AFRO",26545863,-0.111,"5.3%",0,"Minimal",-0.117,-0.105,,,,,,1.9,1,"2021-11-18"
"2021-11-22","Central African Republic","CAF","AFRO",4829767,0.027,"0.0%",0,"Minimal",-0.007,0.063,"19.9%","0.0%","increasing","2021-11-14","2021-11-07",7.5,6.7,"2021-11-07"
"2021-11-22","Chad","TCD","AFRO",16425864,,,,,,,"0.6%","0.9%","constant","2021-10-17","2021-10-10",1.1,0.4,"2021-11-14"
"2021-11-22","Comoros","COM","AFRO",869601,-0.004,"11.4%",0,"Minimal",-0.027,0.018,,,,,,32,22.8,"2021-11-14"
"2021-11-22","Congo","COG","AFRO",5518087,0.003,"28.4%",0,"Minimal",-0.007,0.013,"6.4%","4.9%","increasing","2021-11-14","2021-11-07",8.4,2.3,"2021-11-18"
"2021-11-22","Côte d'Ivoire","CIV","AFRO",26378274,-0.004,"2.1%",0,"Minimal",-0.023,0.015,"1.0%","0.7%","constant","2021-11-14","2021-11-07",10.1,4.5,"2021-11-14"
"2021-11-22","Democratic Republic of the Congo","COD","AFRO",89561403,0.065,"7.6%",2,"Low",0.047,0.083,"13.5%","9.6%","increasing","2021-08-15","2021-08-08",0.1,0.1,"2021-11-16"
"2021-11-22","Equatorial Guinea","GNQ","AFRO",1402985,0.03,"3.2%",0,"Minimal",0.005,0.056,,,,,,17.6,14,"2021-11-19"
"2021-11-22","Eritrea","ERI","AFRO",3546421,0,"16.9%",0,"Minimal",-0.017,0.018,,,,,,,,
"2021-11-22","Eswatini","SWZ","AFRO",1160164,-0.122,"0.3%",1,"Minimal",-0.165,-0.082,,,,,,22.3,21.5,"2021-11-11"
