"assessment_date","country","iso3","region","population","growth_rate","relative_incidence","net_increases","epi_classification","growth_rate_lower","growth_rate_upper","tpr_recent","tpr_before","tpr_change","tpr_last_date_recent","tpr_last_date_before","vac_oneplus_dose_per_100","vac_full_per_100","vaccinations_date"
"2021-10-25","Algeria","DZA","AFRO",43851044,-0.029,"5.1%",0,"Minimal",-0.036,-0.022,,,,,,13.7,9.2,"2021-09-25"
"2021-10-25","Angola","AGO","AFRO",32866272,-0.067,"23.2%",0,"Minimal",-0.072,-0.062,"7.9%","10.7%","decreasing","2021-10-24","2021-10-17",12.6,4.7,"2021-10-20"
"2021-10-25","Benin","BEN","AFRO",12123200,-0.101,"2.1%",0,"Minimal",-0.114,-0.088,"4.5%","11.2%","decreasing","2021-10-10","2021-10-03",1.8,1.5,"2021-10-12"
"2021-10-25","Botswana","BWA","AFRO",2351627,0.032,"19.3%",0,"Low",0.028,0.036,,,,,,26.3,11.2,"2021-10-21"
"2021-10-25","Burkina Faso","BFA","AFRO",20903273,-0.036,"8.0%",0,"Minimal",-0.05,-0.021,"19.5%","7.3%","increasing","2021-10-24","2021-10-17",1.3,1,"2021-10-09"
"2021-10-25","Burundi","BDI","AFRO",11890784,-0.064,"12.9%",0,"Minimal",-0.073,-0.055,"2.3%","1.9%","constant","2021-10-24","2021-10-17",0,,"2021-10-22"
"2021-10-25","Cabo Verde","CPV","AFRO",555987,-0.043,"4.1%",0,"Minimal",-0.058,-0.028,"4.7%","4.7%","constant","2021-10-24","2021-10-17",52.6,35.3,"2021-10-21"
"2021-10-25","Cameroon","CMR","AFRO",26545863,-0.065,"21.1%",1,"Minimal",-0.068,-0.061,,,,,,1.5,0.6,"2021-10-18"
"2021-10-25","Central African Republic","CAF","AFRO",4829767,0.033,"1.0%",1,"Minimal",0.005,0.062,"11.1%","17.3%","constant","2021-10-24","2021-10-17",6.4,0.2,"2021-10-21"
"2021-10-25","Chad","TCD","AFRO",16425864,,,,,,,"0.6%","0.9%","constant","2021-10-17","2021-10-10",0.9,0.3,"2021-10-17"
"2021-10-25","Comoros","COM","AFRO",869601,0.008,"2.6%",0,"Minimal",-0.035,0.051,,,,,,28.3,18.6,"2021-10-19"
"2021-10-25","Congo","COG","AFRO",5518087,0.081,"80.2%",2,"Very High",0.074,0.089,"12.5%","21.7%","decreasing","2021-10-24","2021-10-17",5.3,2.2,"2021-10-21"
"2021-10-25","Côte d'Ivoire","CIV","AFRO",26378274,-0.048,"5.5%",0,"Minimal",-0.06,-0.036,"1.8%","2.1%","constant","2021-10-17","2021-10-10",,,"2021-10-22"
"2021-10-25","Democratic Republic of the Congo","COD","AFRO",89561403,-0.042,"3.8%",0,"Minimal",-0.058,-0.026,"13.5%","9.6%","increasing","2021-08-15","2021-08-08",0.1,0,"2021-10-19"
"2021-10-25","Equatorial Guinea","GNQ","AFRO",1402985,-0.014,"13.2%",0,"Minimal",-0.025,-0.002,,,,,,17.1,13.2,"2021-10-21"
"2021-10-25","Eritrea","ERI","AFRO",3546421,-0.003,"2.6%",0,"Minimal",-0.043,0.036,,,,,,,,
"2021-10-25","Eswatini","SWZ","AFRO",1160164,-0.157,"0.4%",0,"Minimal",-0.178,-0.136,,,,,,20.4,19.8,"2021-10-17"
"2021-10-25","Ethiopia","ETH","AFRO",114963588,-0.044,"19.4%",0,"Minimal",-0.047,-0.041,"9.0%","11.2%","decreasing","2021-10-17","2021-10-10",2.8,0.9,"2021-10-22"
"2021-10-25","Gabon","GAB","AFRO",2225734,-0.009,"56.0%",0,"Low",-0.014,-0.004,"6.8%","4.6%","increasing","2021-10-24","2021-10-17",5.7,4.1,"2021-10-21"
"2021-10-25","Gambia","GMB","AFRO",2416668,0.054,"1.0%",0,"Minimal",-0.017,0.13,"3.3%","1.1%","constant","2021-10-24","2021-10-17",8.9,8.4,"2021-10-19"
"2021-10-25","Ghana","GHA","AFRO",31072940,-0.027,"5.4%",0,"Minimal",-0.034,-0.02,"3.1%","7.4%","decreasing","2021-10-03","2021-09-26",6.1,2.7,"2021-10-21"
"2021-10-25","Guinea","GIN","AFRO",13132795,0.011,"4.1%",0,"Minimal",-0.012,0.035,"3.6%","2.5%","constant","2021-10-24","2021-10-17",10.9,5.3,"2021-10-21"
"2021-10-25","Guinea-Bissau","GNB","AFRO",1968001,-0.042,"0.4%",0,"Minimal",-0.116,0.029,"0.2%","1.2%","decreasing","2021-10-24","2021-10-17",5.7,0.5,"2021-10-18"
"2021-10-25","Kenya","KEN","AFRO",53771296,-0.015,"7.1%",0,"Minimal",-0.022,-0.009,"2.2%","2.7%","decreasing","2021-10-24","2021-10-17",6.5,2.7,"2021-10-23"
"2021-10-25","Lesotho","LSO","AFRO",2142249,-0.038,"0.9%",2,"Minimal",-0.059,-0.017,"1.1%","1.7%","constant","2021-10-24","2021-10-17",16.2,15.8,"2021-10-10"
"2021-10-25","Liberia","LBR","AFRO",5057681,,,,,,,,,,,,5.2,4.8,"2021-10-21"
"2021-10-25","Madagascar","MDG","AFRO",27691018,-0.102,"0.1%",0,"Minimal",-0.178,-0.033,"3.5%","1.3%","increasing","2021-08-29","2021-08-22",1.4,0.7,"2021-10-20"
"2021-10-25","Malawi","MWI","AFRO",19129952,-0.018,"0.6%",0,"Minimal",-0.045,0.009,,,,,,4.8,2.8,"2021-10-23"
"2021-10-25","Mali","MLI","AFRO",20250833,0.021,"12.7%",1,"Minimal",0.007,0.035,"3.7%","1.9%","increasing","2021-10-24","2021-10-17",1.6,1.3,"2021-10-15"
"2021-10-25","Mauritania","MRT","AFRO",4649658,0.004,"7.8%",0,"Minimal",-0.008,0.015,"2.9%","2.3%","increasing","2021-10-24","2021-10-17",15.3,12.7,"2021-10-18"
"2021-10-25","Mauritius","MUS","AFRO",1271768,-0.009,"20.8%",0,"Minimal",-0.018,-0.001,"3.7%","5.0%","decreasing","2021-10-24","2021-10-17",70.1,65.6,"2021-10-21"
"2021-10-25","Mayotte","MYT","AFRO",272815,-0.034,"1.6%",0,"Minimal",-0.06,-0.008,,,,,,,,
"2021-10-25","Mozambique","MOZ","AFRO",31255435,-0.01,"0.9%",0,"Minimal",-0.026,0.005,"1.9%","5.1%","decreasing","2021-10-24","2021-10-17",6.3,5.8,"2021-10-21"
"2021-10-25","Namibia","NAM","AFRO",2540905,0.028,"3.8%",1,"Minimal",0.018,0.037,"4.2%","8.4%","decreasing","2021-10-10","2021-10-03",11.9,9.2,"2021-10-21"
"2021-10-25","Niger","NER","AFRO",24206644,0.028,"10.9%",0,"Minimal",0.005,0.05,"2.9%","2.7%","constant","2021-10-24","2021-10-17",2,1.3,"2021-10-15"
"2021-10-25","Nigeria","NGA","AFRO",206139589,-0.004,"9.6%",0,"Minimal",-0.009,0.001,,,,,,2.6,1.3,"2021-10-21"
"2021-10-25","Réunion","REU","AFRO",895312,-0.079,"6.4%",0,"Minimal",-0.089,-0.069,,,,,,,,
"2021-10-25","Rwanda","RWA","AFRO",12952218,,"1.7%",0,,,,"0.3%","1.0%","decreasing","2021-10-24","2021-10-17",28,13.6,"2021-10-23"
"2021-10-25","Saint Helena","SHN","AFRO",6071,,,,,,,,,,,,71.8,58.2,"2021-05-05"
"2021-10-25","Sao Tome and Principe","STP","AFRO",219159,-0.074,"6.5%",0,"Minimal",-0.101,-0.048,,,,,,34.6,12.7,"2021-10-15"
"2021-10-25","Senegal","SEN","AFRO",16743927,-0.018,"0.4%",0,"Minimal",-0.051,0.015,"0.3%","0.3%","constant","2021-10-24","2021-10-17",7.7,5.3,"2021-10-20"
"2021-10-25","Seychelles","SYC","AFRO",98347,-0.002,"8.0%",0,"Minimal",-0.016,0.011,,,,,,81.9,76,"2021-10-15"
"2021-10-25","Sierra Leone","SLE","AFRO",7976983,,,,,,,"0.0%","0.1%","constant","2021-10-24","2021-10-17",4,1.4,"2021-10-18"
"2021-10-25","South Africa","ZAF","AFRO",59308690,-0.032,"2.3%",0,"Minimal",-0.034,-0.029,"2.4%","3.0%","decreasing","2021-10-17","2021-10-10",24.9,19.5,"2021-10-23"
"2021-10-25","South Sudan","SSD","AFRO",11193725,-0.006,"4.6%",0,"Minimal",-0.026,0.014,"1.7%","2.6%","constant","2021-10-24","2021-10-17",,,
"2021-10-25","Togo","TGO","AFRO",8278724,-0.044,"5.2%",6,"Low",-0.06,-0.029,"1.6%","1.6%","constant","2021-10-24","2021-10-17",10.5,5.1,"2021-10-15"
"2021-10-25","Uganda","UGA","AFRO",45741007,-0.007,"1.8%",0,"Minimal",-0.015,0.001,"2.4%","0.0%","increasing","2021-10-10","2021-10-03",5.6,0.9,"2021-10-21"
"2021-10-25","United Republic of Tanzania","TZA","AFRO",59734218,-0.219,"0.0%",0,"Minimal",-0.256,-0.185,,,,,,1.5,1.5,"2021-10-13"
"2021-10-25","Western Sahara","ESH","AFRO",597339,,,,,,,,,,,,,,
"2021-10-25","Zambia","ZMB","AFRO",18383955,-0.017,"0.6%",0,"Minimal",-0.032,-0.002,"0.5%","0.6%","constant","2021-10-17","2021-10-10",,2.8,"2021-10-22"
"2021-10-25","Zimbabwe","ZWE","AFRO",14862924,-0.04,"1.7%",0,"Minimal",-0.049,-0.032,"2.9%","5.0%","decreasing","2021-10-10","2021-10-03",22.1,17.2,"2021-10-24"
"2021-10-25","Afghanistan","AFG","EMRO",38928346,-0.002,"1.4%",0,"Minimal",-0.015,0.01,,,,,,2.1,,"2021-09-30"
