"assessment_date","country","iso3","region","population","growth_rate","relative_incidence","net_increases","epi_classification","growth_rate_lower","growth_rate_upper","tpr_recent","tpr_before","tpr_change","tpr_last_date_recent","tpr_last_date_before","vac_oneplus_dose_per_100","vac_full_per_100","vaccinations_date"
"2021-10-25","Algeria","DZA","AFRO",43851044,-0.029,"5.0%",0,"Minimal",-0.036,-0.022,,,,,,13.7,9.2,"2021-09-25"
"2021-10-25","Angola","AGO","AFRO",32866272,-0.074,"24.0%",0,"Minimal",-0.079,-0.069,"7.0%","10.7%","decreasing","2021-10-24","2021-10-17",13.7,4.9,"2021-10-24"
"2021-10-25","Benin","BEN","AFRO",12123200,-0.138,"2.1%",0,"Minimal",-0.152,-0.124,"4.5%","11.2%","decreasing","2021-10-10","2021-10-03",1.8,1.5,"2021-10-12"
"2021-10-25","Botswana","BWA","AFRO",2351627,0.005,"19.3%",0,"Minimal",0,0.009,,,,,,26.3,11.2,"2021-10-21"
"2021-10-25","Burkina Faso","BFA","AFRO",20903273,-0.04,"4.4%",0,"Minimal",-0.055,-0.024,"19.5%","7.3%","increasing","2021-10-24","2021-10-17",1.7,1.3,"2021-10-24"
"2021-10-25","Burundi","BDI","AFRO",11890784,-0.081,"9.9%",0,"Minimal",-0.09,-0.071,"2.1%","1.9%","constant","2021-10-24","2021-10-17",0,,"2021-10-22"
"2021-10-25","Cabo Verde","CPV","AFRO",555987,-0.053,"4.3%",0,"Minimal",-0.068,-0.038,"4.7%","4.7%","constant","2021-10-24","2021-10-17",52.7,36.2,"2021-10-24"
"2021-10-25","Cameroon","CMR","AFRO",26545863,-0.096,"21.1%",0,"Minimal",-0.1,-0.092,,,,,,1.6,0.6,"2021-10-23"
"2021-10-25","Central African Republic","CAF","AFRO",4829767,0.006,"1.0%",1,"Minimal",-0.022,0.034,"11.1%","17.3%","constant","2021-10-24","2021-10-17",6.8,5.9,"2021-10-21"
"2021-10-25","Chad","TCD","AFRO",16425864,,,,,,,"0.6%","0.9%","constant","2021-10-17","2021-10-10",0.9,0.3,"2021-10-17"
"2021-10-25","Comoros","COM","AFRO",869601,0.032,"2.7%",0,"Minimal",-0.014,0.079,,,,,,28.3,18.6,"2021-10-19"
"2021-10-25","Congo","COG","AFRO",5518087,0.051,"80.2%",2,"High",0.045,0.058,"12.5%","21.7%","decreasing","2021-10-24","2021-10-17",5.3,2.2,"2021-10-21"
"2021-10-25","Côte d'Ivoire","CIV","AFRO",26378274,-0.062,"4.0%",0,"Minimal",-0.074,-0.05,"1.9%","1.8%","constant","2021-10-24","2021-10-17",8.4,3.2,"2021-10-24"
"2021-10-25","Democratic Republic of the Congo","COD","AFRO",89561403,-0.036,"4.5%",0,"Minimal",-0.052,-0.02,"13.5%","9.6%","increasing","2021-08-15","2021-08-08",0.1,0,"2021-10-25"
"2021-10-25","Equatorial Guinea","GNQ","AFRO",1402985,-0.042,"13.2%",0,"Minimal",-0.053,-0.03,,,,,,17.1,13.2,"2021-10-21"
"2021-10-25","Eritrea","ERI","AFRO",3546421,-0.013,"2.9%",0,"Minimal",-0.053,0.026,,,,,,,,
"2021-10-25","Eswatini","SWZ","AFRO",1160164,-0.174,"0.4%",0,"Minimal",-0.197,-0.151,,,,,,20.7,20,"2021-10-24"
"2021-10-25","Ethiopia","ETH","AFRO",114963588,-0.042,"20.6%",0,"Minimal",-0.045,-0.039,"9.0%","11.2%","decreasing","2021-10-17","2021-10-10",2.8,0.9,"2021-10-22"
"2021-10-25","Gabon","GAB","AFRO",2225734,-0.037,"56.0%",0,"Minimal",-0.042,-0.031,"6.8%","4.6%","increasing","2021-10-24","2021-10-17",5.7,4.1,"2021-10-21"
"2021-10-25","Gambia","GMB","AFRO",2416668,0.026,"1.0%",1,"Minimal",-0.045,0.099,"3.3%","1.1%","constant","2021-10-24","2021-10-17",8.9,8.4,"2021-10-19"
"2021-10-25","Ghana","GHA","AFRO",31072940,-0.055,"2.4%",0,"Minimal",-0.063,-0.048,"3.1%","7.4%","decreasing","2021-10-03","2021-09-26",6.1,2.7,"2021-10-21"
"2021-10-25","Guinea","GIN","AFRO",13132795,-0.016,"4.1%",0,"Minimal",-0.04,0.007,"3.6%","2.5%","constant","2021-10-24","2021-10-17",10.9,5.3,"2021-10-21"
"2021-10-25","Guinea-Bissau","GNB","AFRO",1968001,-0.045,"0.2%",0,"Minimal",-0.124,0.03,"0.2%","1.2%","decreasing","2021-10-24","2021-10-17",6,0.5,"2021-10-24"
"2021-10-25","Kenya","KEN","AFRO",53771296,-0.028,"6.7%",0,"Minimal",-0.035,-0.022,"1.9%","2.7%","decreasing","2021-10-24","2021-10-17",6.5,2.7,"2021-10-24"
"2021-10-25","Lesotho","LSO","AFRO",2142249,-0.038,"0.8%",2,"Minimal",-0.06,-0.016,"1.0%","1.7%","decreasing","2021-10-24","2021-10-17",16.2,15.8,"2021-10-10"
"2021-10-25","Liberia","LBR","AFRO",5057681,,,,,,,,,,,,,4.9,"2021-10-22"
"2021-10-25","Madagascar","MDG","AFRO",27691018,-0.138,"0.1%",0,"Minimal",-0.222,-0.065,"3.5%","1.3%","increasing","2021-08-29","2021-08-22",1.4,0.7,"2021-10-20"
"2021-10-25","Malawi","MWI","AFRO",19129952,-0.04,"0.6%",1,"Minimal",-0.068,-0.013,,,,,,4.8,2.8,"2021-10-23"
"2021-10-25","Mali","MLI","AFRO",20250833,0.018,"14.1%",2,"Minimal",0.004,0.032,"3.0%","1.9%","increasing","2021-10-24","2021-10-17",1.6,1.3,"2021-10-15"
"2021-10-25","Mauritania","MRT","AFRO",4649658,0.01,"8.2%",0,"Minimal",-0.001,0.022,"2.5%","2.3%","constant","2021-10-24","2021-10-17",15.3,12.7,"2021-10-18"
"2021-10-25","Mauritius","MUS","AFRO",1271768,-0.037,"18.9%",0,"Minimal",-0.046,-0.028,"3.7%","5.0%","decreasing","2021-10-24","2021-10-17",70.1,65.6,"2021-10-21"
"2021-10-25","Mayotte","MYT","AFRO",272815,-0.038,"2.0%",3,"Low",-0.063,-0.014,,,,,,,,
"2021-10-25","Mozambique","MOZ","AFRO",31255435,-0.025,"0.9%",0,"Minimal",-0.041,-0.009,"1.7%","5.1%","decreasing","2021-10-24","2021-10-17",6.3,5.8,"2021-10-21"
"2021-10-25","Namibia","NAM","AFRO",2540905,0.049,"3.8%",1,"Low",0.039,0.059,"3.9%","4.2%","constant","2021-10-17","2021-10-10",11.9,9.2,"2021-10-21"
"2021-10-25","Niger","NER","AFRO",24206644,0.01,"9.6%",0,"Minimal",-0.012,0.033,"2.9%","2.7%","constant","2021-10-24","2021-10-17",2,1.3,"2021-10-15"
"2021-10-25","Nigeria","NGA","AFRO",206139589,-0.027,"8.6%",0,"Minimal",-0.032,-0.022,,,,,,2.7,1.4,"2021-10-23"
"2021-10-25","Réunion","REU","AFRO",895312,-0.112,"6.4%",0,"Minimal",-0.122,-0.101,,,,,,,,
"2021-10-25","Rwanda","RWA","AFRO",12952218,,"2.3%",0,,,,"0.3%","1.0%","decreasing","2021-10-24","2021-10-17",28,13.6,"2021-10-23"
"2021-10-25","Saint Helena","SHN","AFRO",6071,,,,,,,,,,,,71.8,58.2,"2021-05-05"
"2021-10-25","Sao Tome and Principe","STP","AFRO",219159,-0.1,"5.9%",0,"Minimal",-0.129,-0.072,,,,,,34.6,12.7,"2021-10-15"
"2021-10-25","Senegal","SEN","AFRO",16743927,-0.019,"0.4%",0,"Minimal",-0.053,0.014,"0.3%","0.3%","constant","2021-10-24","2021-10-24",7.7,5.3,"2021-10-20"
"2021-10-25","Seychelles","SYC","AFRO",98347,-0.03,"8.0%",0,"Minimal",-0.044,-0.016,,,,,,82.4,77.5,"2021-10-25"
"2021-10-25","Sierra Leone","SLE","AFRO",7976983,,,,,,,"0.0%","0.1%","constant","2021-10-24","2021-10-17",4,1.4,"2021-10-18"
"2021-10-25","South Africa","ZAF","AFRO",59308690,-0.037,"2.2%",0,"Minimal",-0.04,-0.034,"1.7%","2.4%","decreasing","2021-10-24","2021-10-17",24.9,19.5,"2021-10-23"
"2021-10-25","South Sudan","SSD","AFRO",11193725,-0.027,"4.6%",0,"Minimal",-0.048,-0.007,"1.6%","2.6%","decreasing","2021-10-24","2021-10-17",0.8,0.4,"2021-10-25"
"2021-10-25","Togo","TGO","AFRO",8278724,-0.071,"4.7%",0,"Minimal",-0.088,-0.056,"1.4%","1.4%","constant","2021-10-24","2021-10-24",10.5,5.1,"2021-10-15"
"2021-10-25","Uganda","UGA","AFRO",45741007,-0.016,"1.7%",0,"Minimal",-0.024,-0.008,"2.0%","2.4%","constant","2021-10-17","2021-10-10",5.6,0.9,"2021-10-21"
"2021-10-25","United Republic of Tanzania","TZA","AFRO",59734218,-0.055,"0.3%",0,"Minimal",-0.076,-0.035,,,,,,1.5,1.5,"2021-10-13"
"2021-10-25","Western Sahara","ESH","AFRO",597339,,,,,,,,,,,,,,
"2021-10-25","Zambia","ZMB","AFRO",18383955,-0.03,"0.6%",0,"Minimal",-0.045,-0.015,"0.4%","0.5%","constant","2021-10-24","2021-10-17",,2.8,"2021-10-22"
"2021-10-25","Zimbabwe","ZWE","AFRO",14862924,-0.057,"1.6%",0,"Minimal",-0.066,-0.049,"2.0%","2.9%","decreasing","2021-10-17","2021-10-10",22.1,17.2,"2021-10-25"
"2021-10-25","Afghanistan","AFG","EMRO",38928346,-0.001,"1.5%",0,"Minimal",-0.013,0.012,,,,,,2.1,,"2021-09-30"
"2021-10-25","Bahrain","BHR","EMRO",1701575,0.004,"2.2%",0,"Minimal",-0.005,0.013,"0.4%","0.4%","constant","2021-10-10","2021-10-03",69,66.9,"2021-10-25"
"2021-10-25","Djibouti","DJI","EMRO",988000,-0.132,"4.1%",0,"Minimal",-0.149,-0.116,,,,,,6.7,2.6,"2021-09-30"
"2021-10-25","Egypt","EGY","EMRO",102334404,0.007,"55.9%",0,"Low",0.004,0.009,,,,,,16.4,8.1,"2021-10-23"
"2021-10-25","Iran (Islamic Republic of)","IRN","EMRO",83992949,-0.009,"27.3%",1,"Minimal",-0.01,-0.009,"35.8%","19.1%","increasing","2021-10-24","2021-10-17",60.9,35.9,"2021-10-25"
"2021-10-25","Iraq","IRQ","EMRO",40222493,-0.02,"12.9%",0,"Minimal",-0.022,-0.018,"14.5%","15.1%","decreasing","2021-10-24","2021-10-17",14,8.3,"2021-10-24"
"2021-10-25","Jordan","JOR","EMRO",10203134,0.016,"17.0%",1,"Minimal",0.014,0.018,"11.6%","22.8%","decreasing","2021-10-24","2021-10-17",38.2,34.1,"2021-10-25"
"2021-10-25","Kuwait","KWT","EMRO",4270571,-0.028,"1.5%",0,"Minimal",-0.04,-0.016,"0.2%","0.2%","constant","2021-10-24","2021-10-17",,,
"2021-10-25","Lebanon","LBN","EMRO",6825445,0.001,"11.6%",0,"Minimal",-0.002,0.004,,,,,,25.3,21.4,"2021-10-24"
"2021-10-25","Libya","LBY","EMRO",6871292,-0.018,"18.2%",1,"Minimal",-0.021,-0.015,"24.9%","21.2%","increasing","2021-10-24","2021-10-17",21.7,5.4,"2021-10-24"
"2021-10-25","Morocco","MAR","EMRO",36910560,-0.036,"3.1%",0,"Minimal",-0.04,-0.033,"2.8%","5.5%","decreasing","2021-10-24","2021-10-17",64.1,58.1,"2021-10-24"
"2021-10-25","occupied Palestinian territory","PSE","EMRO",5101414,-0.068,"17.8%",0,"Minimal",-0.071,-0.066,"9.6%","14.7%","decreasing","2021-10-24","2021-10-17",,23.1,"2021-10-10"
"2021-10-25","Oman","OMN","EMRO",5106626,-0.023,"0.8%",3,"Low",-0.041,-0.006,,,,,,60,51.2,"2021-10-23"
"2021-10-25","Pakistan","PAK","EMRO",220892340,-0.047,"10.1%",0,"Minimal",-0.049,-0.044,"3.4%","4.1%","decreasing","2021-10-03","2021-09-26",31.1,17.5,"2021-10-23"
"2021-10-25","Qatar","QAT","EMRO",2881053,0.008,"4.5%",0,"Minimal",-0,0.016,"1.6%","1.3%","constant","2021-10-24","2021-10-17",,,"2021-10-25"
"2021-10-25","Saudi Arabia","SAU","EMRO",34813871,-0.003,"1.0%",0,"Minimal",-0.013,0.007,"0.1%","0.1%","constant","2021-10-24","2021-10-17",69.2,61,"2021-10-25"
