"assessment_date","country","iso3","region","population","growth_rate","relative_incidence","net_increases","epi_classification","growth_rate_lower","growth_rate_upper","tpr_recent","tpr_before","tpr_change","tpr_last_date_recent","tpr_last_date_before","vac_oneplus_dose_per_100","vac_full_per_100","vaccinations_date"
"2022-01-03","Algeria","DZA","AFRO",43851044,0.025,"14.4%",0,"Minimal",0.02,0.03,,,,,,16.1,12.8,"2021-12-21"
"2022-01-03","Angola","AGO","AFRO",32866272,0.328,"188.9%",3,"Very High",0.322,0.334,"5.4%","6.8%","constant","2021-11-28","2021-11-21",23.4,12,"2021-12-30"
"2022-01-03","Benin","BEN","AFRO",12123200,0.005,"0.0%",0,"Minimal",-0.053,0.064,"0.1%","0.5%","decreasing","2021-12-19","2021-12-12",14,10.9,"2021-12-27"
"2022-01-03","Botswana","BWA","AFRO",2351627,0.075,"22.0%",0,"Medium",0.072,0.077,,,,,,49.6,43.9,"2021-12-30"
"2022-01-03","Burkina Faso","BFA","AFRO",20903273,0.122,"44.3%",1,"High",0.111,0.133,"19.5%","7.3%","increasing","2021-10-24","2021-10-17",4.7,3.1,"2021-12-22"
"2022-01-03","Burundi","BDI","AFRO",11890784,0.11,"86.9%",5,"Very High",0.105,0.114,"3.0%","3.3%","decreasing","2022-01-02","2021-12-26",0,0,"2021-12-30"
"2022-01-03","Cabo Verde","CPV","AFRO",555987,0.213,"28.3%",6,"High",0.197,0.231,"2.4%","8.8%","decreasing","2022-01-02","2021-12-26",54.5,46,"2021-12-17"
"2022-01-03","Cameroon","CMR","AFRO",26545863,0.182,"10.2%",0,"Medium",0.171,0.193,,,,,,3,2.4,"2021-12-14"
"2022-01-03","Central African Republic","CAF","AFRO",4829767,0.065,"0.5%",1,"Low",0.042,0.089,"0.0%","28.1%","decreasing","2021-12-19","2021-12-12",9.3,7.2,"2021-12-30"
"2022-01-03","Chad","TCD","AFRO",16425864,,"0.0%",0,,,,"0.6%","0.9%","constant","2021-10-17","2021-10-10",1.7,0.5,"2021-12-15"
"2022-01-03","Comoros","COM","AFRO",869601,0.195,"81.0%",6,"Very High",0.183,0.207,,,,,,32.5,28.1,"2021-12-10"
"2022-01-03","Congo","COG","AFRO",5518087,0.149,"52.0%",0,"High",0.135,0.162,,,,,,13.3,10.2,"2021-12-15"
"2022-01-03","Côte d'Ivoire","CIV","AFRO",26378274,0.228,"70.2%",1,"High",0.219,0.238,"11.4%","0.9%","increasing","2021-12-26","2021-12-19",12.5,5.7,"2021-12-12"
"2022-01-03","Democratic Republic of the Congo","COD","AFRO",89561403,0.019,"56.4%",0,"Low",0.016,0.021,"13.5%","9.6%","increasing","2021-08-15","2021-08-08",0.3,0.1,"2021-12-28"
"2022-01-03","Equatorial Guinea","GNQ","AFRO",1402985,-0.026,"0.6%",0,"Minimal",-0.083,0.029,,,,,,17.8,14.5,"2021-12-22"
"2022-01-03","Eritrea","ERI","AFRO",3546421,0.003,"17.5%",0,"Minimal",-0.016,0.022,,,,,,,,
"2022-01-03","Eswatini","SWZ","AFRO",1160164,-0.063,"18.6%",0,"Minimal",-0.066,-0.06,,,,,,28.8,26,"2021-12-28"
"2022-01-03","Ethiopia","ETH","AFRO",114963588,0.188,"98.2%",3,"Very High",0.186,0.191,"14.1%","25.9%","decreasing","2022-01-02","2021-12-26",8.1,1.4,"2021-12-30"
"2022-01-03","Gabon","GAB","AFRO",2225734,0.273,"90.4%",3,"Very High",0.261,0.285,,,,,,17.7,7.8,"2021-12-15"
"2022-01-03","Gambia","GMB","AFRO",2416668,0,"5.1%",0,"Minimal",-0.031,0.031,"2.0%","2.8%","constant","2021-12-26","2021-12-19",10.1,9.5,"2021-12-14"
"2022-01-03","Ghana","GHA","AFRO",31072940,0.233,"91.2%",0,"Very High",0.227,0.238,,,,,,18.6,7.5,"2021-12-23"
"2022-01-03","Guinea","GIN","AFRO",13132795,0.26,"22.7%",6,"High",0.234,0.287,"4.0%","4.1%","constant","2022-01-02","2021-12-26",14.9,6.9,"2021-12-28"
"2022-01-03","Guinea-Bissau","GNB","AFRO",1968001,0.084,"3.0%",1,"Minimal",0.015,0.157,"1.6%","0.7%","constant","2022-01-02","2021-12-26",19.9,1.2,"2021-12-28"
"2022-01-03","Kenya","KEN","AFRO",53771296,0.101,"57.9%",0,"High",0.099,0.103,"9.3%","31.5%","decreasing","2022-01-02","2021-12-26",12.4,7.6,"2021-12-29"
"2022-01-03","Lesotho","LSO","AFRO",2142249,-0.016,"31.4%",0,"Minimal",-0.02,-0.011,"2.4%","23.6%","decreasing","2022-01-02","2021-12-26",30.3,29.9,"2021-12-16"
"2022-01-03","Liberia","LBR","AFRO",5057681,0.248,"31.0%",0,"Medium",0.223,0.274,,,,,,15.5,14.9,"2021-12-15"
"2022-01-03","Madagascar","MDG","AFRO",27691018,0.178,"67.3%",1,"High",0.172,0.185,"1.6%","3.5%","constant","2021-09-05","2021-08-29",2.1,2,"2021-12-06"
"2022-01-03","Malawi","MWI","AFRO",19129952,0.094,"52.7%",0,"High",0.09,0.097,,,,,,7.8,3.6,"2021-12-29"
"2022-01-03","Mali","MLI","AFRO",20250833,0.019,"32.5%",2,"Minimal",0.011,0.027,"2.8%","7.9%","decreasing","2022-01-02","2021-12-26",4.3,1.9,"2021-12-28"
"2022-01-03","Mauritania","MRT","AFRO",4649658,0.072,"12.6%",2,"Medium",0.06,0.083,"3.4%","3.1%","constant","2022-01-02","2021-12-26",25.1,16.5,"2021-12-30"
"2022-01-03","Mauritius","MUS","AFRO",1271768,-0.216,"0.0%",0,"Minimal",-0.226,-0.206,"73.8%","37.6%","increasing","2021-11-07","2021-10-31",74.5,71.6,"2021-12-30"
"2022-01-03","Mayotte","MYT","AFRO",272815,0.308,"21.5%",2,"Medium",0.286,0.33,,,,,,,,
"2022-01-03","Mozambique","MOZ","AFRO",31255435,0.117,"81.3%",0,"Very High",0.115,0.12,,,,,,27.6,19.5,"2021-12-30"
"2022-01-03","Namibia","NAM","AFRO",2540905,0.026,"46.4%",0,"Medium",0.023,0.029,"39.0%","19.0%","increasing","2021-12-26","2021-12-19",15.9,13.4,"2021-12-30"
"2022-01-03","Niger","NER","AFRO",24206644,0.039,"8.0%",0,"Minimal",0.012,0.066,"2.9%","2.1%","constant","2022-01-02","2021-12-26",2.1,1.9,"2021-11-28"
"2022-01-03","Nigeria","NGA","AFRO",206139589,0.037,"45.2%",0,"Medium",0.035,0.04,,,,,,4.8,2.1,"2021-12-30"
"2022-01-03","Réunion","REU","AFRO",895312,0.102,"73.9%",2,"High",0.098,0.105,,,,,,,,
"2022-01-03","Rwanda","RWA","AFRO",12952218,0.101,"39.0%",0,"Medium",0.097,0.106,"2.0%","2.8%","decreasing","2022-01-02","2021-12-26",58.8,41.7,"2021-12-30"
"2022-01-03","Saint Helena","SHN","AFRO",6071,,,,,,,,,,,,71.8,58.2,"2021-05-05"
"2022-01-03","Sao Tome and Principe","STP","AFRO",219159,,,,,,,,,,,,39.4,23.4,"2021-12-13"
"2022-01-03","Senegal","SEN","AFRO",16743927,0.074,"3.8%",2,"Medium",0.058,0.09,"2.6%","2.3%","constant","2022-01-02","2021-12-26",8.1,5.6,"2021-12-30"
"2022-01-03","Seychelles","SYC","AFRO",98347,0.041,"10.9%",0,"Low",0.027,0.054,,,,,,83.7,79.6,"2021-12-28"
"2022-01-03","Sierra Leone","SLE","AFRO",7976983,0.192,"39.5%",0,"Medium",0.169,0.217,"23.6%","5.8%","increasing","2022-01-02","2021-12-26",9.4,4.8,"2021-12-08"
"2022-01-03","South Africa","ZAF","AFRO",59308690,-0.071,"30.6%",0,"Minimal",-0.072,-0.071,"31.3%","36.1%","decreasing","2021-12-26","2021-12-19",31.9,26.7,"2021-12-29"
"2022-01-03","South Sudan","SSD","AFRO",11193725,0.08,"37.9%",0,"Medium",0.073,0.088,"20.0%","17.2%","increasing","2022-01-02","2021-12-26",2,1.6,"2021-12-15"
"2022-01-03","Togo","TGO","AFRO",8278724,0.15,"77.3%",0,"High",0.142,0.158,"14.6%","16.3%","decreasing","2022-01-02","2021-12-26",16.7,12,"2021-12-24"
"2022-01-03","Uganda","UGA","AFRO",45741007,0.193,"32.8%",0,"Medium",0.188,0.198,"8.5%","3.0%","increasing","2021-12-26","2021-12-19",18.3,3.1,"2021-12-20"
"2022-01-03","United Republic of Tanzania","TZA","AFRO",59734218,0.802,"11.5%",1,"Medium",0.773,0.832,,,,,,3.5,2.3,"2021-12-28"
"2022-01-03","Western Sahara","ESH","AFRO",597339,,,,,,,,,,,,,,
"2022-01-03","Zambia","ZMB","AFRO",18383955,0.075,"67.2%",0,"High",0.073,0.077,"8.8%","23.9%","decreasing","2022-01-02","2021-12-26",,6.6,"2021-12-31"
"2022-01-03","Zimbabwe","ZWE","AFRO",14862924,-0.093,"18.8%",0,"Minimal",-0.095,-0.092,"10.7%","34.8%","decreasing","2022-01-02","2021-12-26",27.8,21.1,"2022-01-01"
"2022-01-03","Afghanistan","AFG","EMRO",38928346,0.032,"0.8%",2,"Minimal",0.015,0.05,,,,,,11.3,9.2,"2021-11-27"
"2022-01-03","Bahrain","BHR","EMRO",1701575,0.059,"5.1%",0,"Medium",0.052,0.066,"1.3%","0.3%","increasing","2021-12-05","2021-11-28",70.7,69.3,"2022-01-01"
"2022-01-03","Djibouti","DJI","EMRO",988000,,,,,,,,,,,,11,9.2,"2021-12-30"
"2022-01-03","Egypt","EGY","EMRO",102334404,-0.017,"30.4%",0,"Minimal",-0.019,-0.014,,,,,,32.3,20.2,"2021-12-24"
"2022-01-03","Iran (Islamic Republic of)","IRN","EMRO",83992949,-0.044,"3.2%",1,"Minimal",-0.046,-0.043,"2.7%","4.0%","decreasing","2021-12-26","2021-12-19",70.8,61,"2021-12-26"
"2022-01-03","Iraq","IRQ","EMRO",40222493,-0.058,"1.0%",0,"Minimal",-0.063,-0.054,"2.7%","6.4%","decreasing","2021-12-26","2021-12-19",21.1,14,"2021-12-27"
"2022-01-03","Jordan","JOR","EMRO",10203134,-0.069,"11.9%",0,"Minimal",-0.071,-0.068,"29.9%","37.9%","decreasing","2021-12-19","2021-12-12",42.5,38.6,"2021-12-28"
"2022-01-03","Kuwait","KWT","EMRO",4270571,0.096,"5.9%",2,"Medium",0.087,0.105,"0.6%","0.2%","increasing","2021-12-26","2021-12-19",78.1,75.3,"2021-12-28"
"2022-01-03","Lebanon","LBN","EMRO",6825445,-0.014,"19.5%",0,"Minimal",-0.016,-0.012,,,,,,33,26.8,"2022-01-01"
"2022-01-03","Libya","LBY","EMRO",6871292,0.016,"14.4%",1,"Minimal",0.013,0.02,"14.7%","13.6%","increasing","2021-12-26","2021-12-19",27,12,"2021-12-30"
"2022-01-03","Morocco","MAR","EMRO",36910560,0.029,"3.2%",1,"Low",0.025,0.034,"3.6%","2.3%","increasing","2021-12-26","2021-12-19",66.7,62.3,"2021-12-27"
"2022-01-03","occupied Palestinian territory","PSE","EMRO",5101414,0.013,"10.3%",0,"Minimal",0.009,0.018,"6.6%","7.1%","constant","2021-12-26","2021-12-19",40.2,29,"2021-12-20"
"2022-01-03","Oman","OMN","EMRO",5106626,0.108,"1.9%",6,"High",0.091,0.124,,,,,,61.1,56.6,"2021-12-19"
"2022-01-03","Pakistan","PAK","EMRO",220892340,-0.025,"4.0%",0,"Minimal",-0.029,-0.021,"0.3%","0.7%","decreasing","2022-01-02","2021-12-26",43.9,32,"2021-12-30"
"2022-01-03","Qatar","QAT","EMRO",2881053,0.047,"11.6%",5,"Medium",0.041,0.053,"1.6%","1.3%","constant","2021-10-24","2021-10-17",,,"2022-01-01"
"2022-01-03","Saudi Arabia","SAU","EMRO",34813871,0.117,"7.0%",5,"High",0.111,0.123,"0.4%","0.1%","increasing","2021-12-26","2021-12-19",71.9,66.6,"2022-01-01"
"2022-01-03","Somalia","SOM","EMRO",15893222,0.076,"0.0%",1,"Medium",0.059,0.093,,,,,,7.6,5.1,"2021-12-26"
"2022-01-03","Sudan","SDN","EMRO",43849260,-0.079,"11.7%",2,"Minimal",-0.088,-0.071,,,,,,9.2,2.8,"2021-12-15"
"2022-01-03","Syrian Arab Republic","SYR","EMRO",17500658,-0.063,"6.5%",0,"Minimal",-0.074,-0.052,,,,,,6.8,4.5,"2021-12-21"
"2022-01-03","Tunisia","TUN","EMRO",11818619,0.019,"2.3%",2,"Minimal",0.014,0.025,,,,,,58.1,50,"2021-12-30"
"2022-01-03","United Arab Emirates","ARE","EMRO",9890402,0.206,"31.8%",7,"High",0.201,0.21,"0.1%","0.0%","increasing","2021-12-19","2021-12-12",100,91.6,"2021-12-24"
"2022-01-03","Yemen","YEM","EMRO",29825964,-0.057,"2.3%",0,"Minimal",-0.1,-0.015,,,,,,1.9,1.2,"2021-12-02"
"2022-01-03","Albania","ALB","EURO",2877800,0,"18.2%",0,"Minimal",-0.005,0.005,,,,,,39.7,35.8,"2021-12-28"
"2022-01-03","Andorra","AND","EURO",77265,0.03,"59.4%",1,"Medium",0.024,0.037,,,,,,73.3,65.4,"2021-12-12"
"2022-01-03","Armenia","ARM","EURO",2963234,-0.063,"3.3%",0,"Minimal",-0.07,-0.056,"2.8%","3.5%","decreasing","2021-12-26","2021-12-19",31.5,23.4,"2021-12-26"
"2022-01-03","Austria","AUT","EURO",8901064,-0.063,"10.5%",3,"Low",-0.065,-0.062,"0.6%","0.3%","increasing","2021-12-26","2021-12-26",74.3,72.8,"2022-01-01"
"2022-01-03","Azerbaijan","AZE","EURO",10139175,-0.064,"7.7%",0,"Minimal",-0.067,-0.061,,,,,,51,46.1,"2022-01-01"
"2022-01-03","Belarus","BLR","EURO",9449321,-0.04,"38.8%",0,"Minimal",-0.042,-0.038,"6.8%","6.6%","constant","2021-12-26","2021-12-19",46.1,34.2,"2021-12-19"
"2022-01-03","Belgium","BEL","EURO",11522440,-0.051,"17.0%",3,"Low",-0.052,-0.05,"9.7%","9.7%","constant","2021-12-26","2021-12-26",77.3,76.4,"2021-12-30"
