"assessment_date","country","iso3","region","population","growth_rate","relative_incidence","net_increases","epi_classification","growth_rate_lower","growth_rate_upper","tpr_recent","tpr_before","tpr_change","tpr_last_date_recent","tpr_last_date_before","vac_oneplus_dose_per_100","vac_full_per_100","vaccinations_date"
"2021-12-06","Algeria","DZA","AFRO",43851044,0.025,"12.3%",0,"Minimal",0.019,0.03,,,,,,15.4,12.3,"2021-11-29"
"2021-12-06","Angola","AGO","AFRO",32866272,0.005,"2.5%",0,"Minimal",-0.012,0.022,"5.4%","6.8%","constant","2021-11-28","2021-11-21",20.6,9.3,"2021-12-02"
"2021-12-06","Benin","BEN","AFRO",12123200,-0.045,"0.2%",0,"Minimal",-0.102,0.009,"0.4%","0.4%","constant","2021-11-21","2021-11-14",2.8,2.5,"2021-11-19"
"2021-12-06","Botswana","BWA","AFRO",2351627,-0.056,"2.5%",1,"Minimal",-0.065,-0.048,,,,,,39.2,21.6,"2021-12-02"
"2021-12-06","Burkina Faso","BFA","AFRO",20903273,0.018,"21.6%",1,"Minimal",0.005,0.03,"19.5%","7.3%","increasing","2021-10-24","2021-10-17",1.7,1.4,"2021-11-04"
"2021-12-06","Burundi","BDI","AFRO",11890784,-0.037,"3.6%",1,"Minimal",-0.058,-0.016,"0.9%","0.5%","increasing","2021-12-05","2021-11-28",,0,"2021-12-01"
"2021-12-06","Cabo Verde","CPV","AFRO",555987,0.086,"3.9%",4,"High",0.057,0.115,"2.7%","1.6%","constant","2021-12-05","2021-11-28",53.4,44.4,"2021-11-26"
"2021-12-06","Cameroon","CMR","AFRO",26545863,-0.053,"4.0%",0,"Minimal",-0.062,-0.044,,,,,,2.9,2.2,"2021-11-29"
"2021-12-06","Central African Republic","CAF","AFRO",4829767,0.057,"0.8%",0,"Minimal",0.019,0.096,"11.9%","0.0%","increasing","2021-11-28","2021-11-21",7.5,6.7,"2021-11-19"
"2021-12-06","Chad","TCD","AFRO",16425864,0.283,"143.6%",1,"Very High",0.26,0.308,"0.6%","0.9%","constant","2021-10-17","2021-10-10",1.1,0.4,"2021-11-27"
"2021-12-06","Comoros","COM","AFRO",869601,-0.028,"7.7%",0,"Minimal",-0.053,-0.003,,,,,,32.4,27.7,"2021-11-28"
"2021-12-06","Congo","COG","AFRO",5518087,-0.108,"5.6%",0,"Minimal",-0.123,-0.093,"3.5%","11.2%","decreasing","2021-11-28","2021-11-21",9.5,2.4,"2021-12-02"
"2021-12-06","Côte d'Ivoire","CIV","AFRO",26378274,0.036,"3.2%",0,"Minimal",0.017,0.054,"1.4%","0.7%","increasing","2021-11-28","2021-11-21",10.1,4.5,"2021-11-14"
"2021-12-06","Democratic Republic of the Congo","COD","AFRO",89561403,0.021,"12.2%",2,"Minimal",0.009,0.033,"13.5%","9.6%","increasing","2021-08-15","2021-08-08",0.2,0.1,"2021-11-29"
"2021-12-06","Equatorial Guinea","GNQ","AFRO",1402985,-0.076,"0.8%",0,"Minimal",-0.105,-0.047,,,,,,17.7,14.2,"2021-12-01"
"2021-12-06","Eritrea","ERI","AFRO",3546421,0.031,"26.2%",0,"Minimal",0.015,0.047,,,,,,,,
"2021-12-06","Eswatini","SWZ","AFRO",1160164,0.357,"15.8%",6,"High",0.334,0.382,,,,,,23.4,22.5,"2021-11-24"
"2021-12-06","Ethiopia","ETH","AFRO",114963588,-0.025,"6.1%",0,"Minimal",-0.031,-0.02,"2.6%","2.6%","constant","2021-12-05","2021-11-28",7.4,1.3,"2021-12-04"
"2021-12-06","Gabon","GAB","AFRO",2225734,-0.09,"2.1%",0,"Minimal",-0.104,-0.077,"2.9%","1.5%","increasing","2021-11-28","2021-11-21",7.5,5,"2021-11-24"
"2021-12-06","Gambia","GMB","AFRO",2416668,-0.1,"0.3%",0,"Minimal",-0.212,-0.001,,,,,,9.8,9.2,"2021-11-21"
"2021-12-06","Ghana","GHA","AFRO",31072940,-0.109,"0.0%",0,"Minimal",-0.131,-0.087,,,,,,8.5,2.7,"2021-11-24"
"2021-12-06","Guinea","GIN","AFRO",13132795,0,"0.5%",0,"Minimal",-0.043,0.044,"1.9%","0.0%","increasing","2021-11-28","2021-11-21",12.6,6.1,"2021-11-28"
"2021-12-06","Guinea-Bissau","GNB","AFRO",1968001,-0.334,"0.8%",2,"Minimal",-0.413,-0.264,"0.6%","0.9%","constant","2021-12-05","2021-11-28",17.7,1,"2021-11-28"
"2021-12-06","Kenya","KEN","AFRO",53771296,0.024,"4.9%",2,"Minimal",0.015,0.034,"1.8%","0.9%","increasing","2021-12-05","2021-11-28",9.2,5.5,"2021-12-05"
"2021-12-06","Lesotho","LSO","AFRO",2142249,0.064,"1.2%",0,"Low",0.037,0.092,"2.7%","0.5%","increasing","2021-12-05","2021-11-28",27.2,26.7,"2021-11-17"
"2021-12-06","Liberia","LBR","AFRO",5057681,,,,,,,,,,,,9.8,9,"2021-11-18"
"2021-12-06","Madagascar","MDG","AFRO",27691018,0.02,"5.8%",1,"Minimal",0.008,0.033,"3.5%","1.3%","increasing","2021-08-29","2021-08-22",1.9,1.7,"2021-11-29"
"2021-12-06","Malawi","MWI","AFRO",19129952,0.12,"1.1%",6,"High",0.087,0.154,,,,,,6.2,3.2,"2021-12-04"
"2021-12-06","Mali","MLI","AFRO",20250833,0.062,"31.5%",0,"Medium",0.052,0.072,"6.6%","4.3%","increasing","2021-12-05","2021-11-28",3.5,1.6,"2021-11-28"
"2021-12-06","Mauritania","MRT","AFRO",4649658,-0.013,"11.6%",0,"Minimal",-0.022,-0.005,"3.4%","4.0%","constant","2021-12-05","2021-11-28",23.1,14.7,"2021-12-02"
"2021-12-06","Mauritius","MUS","AFRO",1271768,0.028,"128.0%",1,"High",0.026,0.03,"7.3%","5.6%","increasing","2021-11-07","2021-10-31",72.1,71.9,"2021-11-23"
"2021-12-06","Mayotte","MYT","AFRO",272815,-0.074,"1.2%",0,"Minimal",-0.098,-0.05,,,,,,,,
"2021-12-06","Mozambique","MOZ","AFRO",31255435,0.197,"2.7%",6,"High",0.175,0.219,,,,,,21,12.6,"2021-12-02"
"2021-12-06","Namibia","NAM","AFRO",2540905,0.238,"2.9%",2,"Medium",0.214,0.262,"0.7%","0.6%","constant","2021-11-28","2021-11-21",14.4,12.1,"2021-12-02"
"2021-12-06","Niger","NER","AFRO",24206644,-0.02,"12.7%",1,"Minimal",-0.036,-0.004,"4.2%","4.4%","constant","2021-12-05","2021-11-28",2.1,1.9,"2021-11-28"
"2021-12-06","Nigeria","NGA","AFRO",206139589,0.03,"5.0%",0,"Low",0.022,0.039,,,,,,3.2,1.7,"2021-12-02"
"2021-12-06","Réunion","REU","AFRO",895312,-0.008,"32.9%",0,"Minimal",-0.013,-0.004,,,,,,,,
"2021-12-06","Rwanda","RWA","AFRO",12952218,-0.001,"0.8%",0,"Minimal",-0.02,0.018,"0.1%","0.1%","constant","2021-12-05","2021-11-28",46.2,26.7,"2021-12-02"
"2021-12-06","Saint Helena","SHN","AFRO",6071,,,,,,,,,,,,71.8,58.2,"2021-05-05"
"2021-12-06","Sao Tome and Principe","STP","AFRO",219159,,,,,,,,,,,,38,17.4,"2021-11-26"
"2021-12-06","Senegal","SEN","AFRO",16743927,0.072,"0.5%",2,"Low",0.029,0.117,"0.6%","0.2%","increasing","2021-12-05","2021-11-28",7.9,5.5,"2021-11-26"
"2021-12-06","Seychelles","SYC","AFRO",98347,0.01,"15.7%",0,"Minimal",-0,0.02,,,,,,83.3,79.3,"2021-11-29"
"2021-12-06","Sierra Leone","SLE","AFRO",7976983,,,,,,,"0.0%","0.1%","constant","2021-12-05","2021-11-28",8.8,4.5,"2021-11-26"
"2021-12-06","South Africa","ZAF","AFRO",59308690,0.165,"44.4%",3,"Very High",0.164,0.167,"20.0%","1.8%","increasing","2021-11-28","2021-11-21",30,25.2,"2021-12-04"
"2021-12-06","South Sudan","SSD","AFRO",11193725,0.002,"4.5%",0,"Minimal",-0.019,0.023,"1.8%","1.7%","constant","2021-12-05","2021-11-28",1.7,1.2,"2021-11-23"
"2021-12-06","Togo","TGO","AFRO",8278724,-0.007,"2.4%",0,"Minimal",-0.034,0.02,"0.8%","0.8%","constant","2021-12-05","2021-11-28",13.3,6.9,"2021-11-26"
"2021-12-06","Uganda","UGA","AFRO",45741007,-0.009,"1.1%",0,"Minimal",-0.021,0.002,"0.8%","0.8%","constant","2021-11-28","2021-11-21",8.4,2,"2021-11-15"
"2021-12-06","United Republic of Tanzania","TZA","AFRO",59734218,-0.081,"0.0%",0,"Minimal",-0.126,-0.037,,,,,,,1.6,"2021-10-29"
"2021-12-06","Western Sahara","ESH","AFRO",597339,,,,,,,,,,,,,,
"2021-12-06","Zambia","ZMB","AFRO",18383955,0.058,"0.8%",5,"Medium",0.039,0.077,"0.6%","0.3%","increasing","2021-12-05","2021-11-28",,4,"2021-12-03"
"2021-12-06","Zimbabwe","ZWE","AFRO",14862924,0.295,"26.5%",6,"High",0.287,0.304,"12.9%","1.6%","increasing","2021-12-05","2021-11-28",26.1,19.4,"2021-12-05"
"2021-12-06","Afghanistan","AFG","EMRO",38928346,-0.028,"1.6%",0,"Minimal",-0.039,-0.017,,,,,,11.3,9.2,"2021-11-27"
"2021-12-06","Bahrain","BHR","EMRO",1701575,0.026,"1.2%",1,"Minimal",0.013,0.039,"0.3%","0.9%","decreasing","2021-11-28","2021-11-21",70,68.3,"2021-12-05"
"2021-12-06","Djibouti","DJI","EMRO",988000,-0.015,"0.3%",1,"Minimal",-0.107,0.076,,,,,,7.9,2.6,"2021-12-02"
"2021-12-06","Egypt","EGY","EMRO",102334404,-0,"58.9%",3,"Medium",-0.002,0.002,,,,,,25.3,15.2,"2021-11-29"
"2021-12-06","Iran (Islamic Republic of)","IRN","EMRO",83992949,-0.036,"9.4%",0,"Minimal",-0.037,-0.035,"7.2%","12.8%","decreasing","2021-11-28","2021-11-21",68.3,55.4,"2021-11-28"
"2021-12-06","Iraq","IRQ","EMRO",40222493,-0.011,"5.7%",0,"Minimal",-0.014,-0.008,"16.1%","30.1%","decreasing","2021-11-28","2021-11-21",18.8,11.7,"2021-11-30"
"2021-12-06","Jordan","JOR","EMRO",10203134,0.021,"55.0%",0,"Medium",0.02,0.023,"56.9%","25.7%","increasing","2021-11-28","2021-11-21",40.9,37,"2021-12-05"
"2021-12-06","Kuwait","KWT","EMRO",4270571,0.019,"1.5%",3,"Low",0.005,0.034,"0.2%","0.1%","increasing","2021-11-28","2021-11-21",77.4,74.1,"2021-11-30"
"2021-12-06","Lebanon","LBN","EMRO",6825445,0.038,"31.0%",1,"Low",0.036,0.04,,,,,,28.6,25.1,"2021-12-05"
"2021-12-06","Libya","LBY","EMRO",6871292,-0.01,"17.5%",0,"Minimal",-0.013,-0.007,"15.7%","17.2%","decreasing","2021-11-28","2021-11-21",24.9,9.7,"2021-12-02"
"2021-12-06","Morocco","MAR","EMRO",36910560,0.024,"1.2%",0,"Minimal",0.017,0.03,"1.4%","0.9%","increasing","2021-11-28","2021-11-21",66.4,61.7,"2021-11-29"
"2021-12-06","occupied Palestinian territory","PSE","EMRO",5101414,0.029,"12.8%",1,"Low",0.025,0.034,"7.5%","6.2%","increasing","2021-11-28","2021-11-21",37.5,26.8,"2021-11-22"
"2021-12-06","Oman","OMN","EMRO",5106626,-0.011,"0.5%",1,"Minimal",-0.035,0.012,,,,,,64.8,55.4,"2021-11-23"
"2021-12-06","Pakistan","PAK","EMRO",220892340,0.017,"6.3%",1,"Minimal",0.013,0.021,"1.5%","3.0%","decreasing","2021-11-28","2021-11-21",37,23.7,"2021-12-05"
"2021-12-06","Qatar","QAT","EMRO",2881053,0.007,"8.3%",0,"Minimal",0.002,0.013,"1.6%","1.3%","constant","2021-10-24","2021-10-17",,,"2021-12-04"
"2021-12-06","Saudi Arabia","SAU","EMRO",34813871,-0.014,"0.7%",1,"Minimal",-0.026,-0.001,"0.1%","0.1%","decreasing","2021-11-28","2021-11-21",70.9,65,"2021-12-05"
"2021-12-06","Somalia","SOM","EMRO",15893222,-0.043,"2.8%",0,"Minimal",-0.066,-0.021,,,,,,3.7,3.6,"2021-11-13"
"2021-12-06","Sudan","SDN","EMRO",43849260,0.048,"56.1%",1,"Medium",0.042,0.055,,,,,,2.6,,"2021-10-20"
"2021-12-06","Syrian Arab Republic","SYR","EMRO",17500658,-0.026,"26.3%",0,"Minimal",-0.033,-0.02,,,,,,5.1,4.2,"2021-11-28"
"2021-12-06","Tunisia","TUN","EMRO",11818619,0.053,"2.0%",0,"Low",0.047,0.06,,,,,,52.2,44.3,"2021-12-04"
"2021-12-06","United Arab Emirates","ARE","EMRO",9890402,-0.009,"1.6%",0,"Minimal",-0.017,0,"0.0%","0.0%","constant","2021-11-14","2021-11-07",99.1,89.3,"2021-11-15"
"2021-12-06","Yemen","YEM","EMRO",29825964,-0.01,"5.2%",4,"Low",-0.042,0.022,,,,,,1.8,1.2,"2021-11-28"
"2021-12-06","Albania","ALB","EURO",2877800,-0.02,"29.1%",0,"Minimal",-0.023,-0.016,"0.4%","0.4%","constant","2021-06-13","2021-06-06",37.5,33.8,"2021-12-03"
