"assessment_date","country","iso3","region","population","growth_rate","relative_incidence","net_increases","epi_classification","growth_rate_lower","growth_rate_upper","tpr_recent","tpr_before","tpr_change","tpr_last_date_recent","tpr_last_date_before","vac_oneplus_dose_per_100","vac_full_per_100","vaccinations_date"
"2021-12-27","Algeria","DZA","AFRO",43851044,0.028,"15.7%",3,"Medium",0.023,0.033,,,,,,16,12.7,"2021-12-14"
"2021-12-27","Angola","AGO","AFRO",32866272,0.052,"8.8%",0,"Low",0.04,0.065,"5.4%","6.8%","constant","2021-11-28","2021-11-21",22.6,11.4,"2021-12-23"
"2021-12-27","Benin","BEN","AFRO",12123200,0.042,"0.5%",1,"Minimal",0.002,0.084,"0.1%","0.5%","decreasing","2021-12-19","2021-12-12",12.9,9.9,"2021-12-21"
"2021-12-27","Botswana","BWA","AFRO",2351627,0.159,"30.5%",2,"Medium",0.154,0.163,,,,,,48.1,42.8,"2021-12-23"
"2021-12-27","Burkina Faso","BFA","AFRO",20903273,0.053,"27.5%",0,"Low",0.042,0.064,"19.5%","7.3%","increasing","2021-10-24","2021-10-17",4.7,3.1,"2021-12-22"
"2021-12-27","Burundi","BDI","AFRO",11890784,0.168,"103.1%",1,"Very High",0.16,0.175,"3.0%","2.7%","constant","2021-12-26","2021-12-19",0,0,"2021-12-23"
"2021-12-27","Cabo Verde","CPV","AFRO",555987,0.049,"6.1%",4,"Medium",0.027,0.071,"1.9%","2.3%","constant","2021-12-26","2021-12-19",54.5,46,"2021-12-17"
"2021-12-27","Cameroon","CMR","AFRO",26545863,0.119,"8.8%",0,"Medium",0.108,0.129,,,,,,3,2.4,"2021-12-14"
"2021-12-27","Central African Republic","CAF","AFRO",4829767,-0.097,"0.0%",0,"Minimal",-0.123,-0.073,"0.0%","28.1%","decreasing","2021-12-19","2021-12-12",9.2,7.1,"2021-12-15"
"2021-12-27","Chad","TCD","AFRO",16425864,,"0.0%",0,,,,"0.6%","0.9%","constant","2021-10-17","2021-10-10",1.7,0.5,"2021-12-15"
"2021-12-27","Comoros","COM","AFRO",869601,0.307,"52.5%",2,"High",0.277,0.338,,,,,,32.5,28.1,"2021-12-10"
"2021-12-27","Congo","COG","AFRO",5518087,0.127,"27.0%",1,"Medium",0.11,0.145,"2.4%","1.5%","increasing","2021-12-19","2021-12-12",13.3,10.2,"2021-12-15"
"2021-12-27","Côte d'Ivoire","CIV","AFRO",26378274,0.218,"16.5%",4,"High",0.2,0.235,"0.9%","0.8%","constant","2021-12-19","2021-12-12",12.5,5.7,"2021-12-12"
"2021-12-27","Democratic Republic of the Congo","COD","AFRO",89561403,0.102,"96.3%",0,"Very High",0.098,0.105,"13.5%","9.6%","increasing","2021-08-15","2021-08-08",0.2,0.1,"2021-12-22"
"2021-12-27","Equatorial Guinea","GNQ","AFRO",1402985,-0.036,"0.0%",0,"Minimal",-0.114,0.038,,,,,,17.8,14.5,"2021-12-22"
