assessment_date,country,iso3,region,population,growth_rate,relative_incidence,net_increases,epi_classification,growth_rate_lower,growth_rate_upper,tpr_recent,tpr_before,tpr_change,tpr_last_date_recent,tpr_last_date_before,vac_oneplus_dose_per_100,vac_full_per_100,vaccinations_date
2021-10-04,Algeria,DZA,AFRO,43851044,-0.025,10.1%,1,Minimal,-0.03,-0.019,,,,,,13.7,9.2,2021-09-25
2021-10-04,Angola,AGO,AFRO,32866272,0.062,153.1%,1,Very High,0.058,0.066,,,,,,6.5,3.1,2021-09-26
2021-10-04,Benin,BEN,AFRO,12123200,-0.043,16.2%,0,Minimal,-0.049,-0.038,,,,,,1.9,0.2,2021-09-30
2021-10-04,Botswana,BWA,AFRO,2351627,-0.07,17.6%,0,Minimal,-0.073,-0.068,,,,,,16.8,10,2021-09-30
2021-10-04,Burkina Faso,BFA,AFRO,20903273,0.032,11.9%,0,Minimal,0.015,0.049,8.2%,3.4%,increasing,2021-10-03,2021-09-26,1.1,0.8,2021-09-22
2021-10-04,Burundi,BDI,AFRO,11890784,-0.036,48.6%,0,Minimal,-0.041,-0.031,3.3%,3.7%,constant,2021-10-03,2021-09-26,,,
2021-10-04,Cabo Verde,CPV,AFRO,555987,-0.047,10.0%,0,Minimal,-0.057,-0.037,5.5%,7.7%,decreasing,2021-10-03,2021-09-26,51.6,25.7,2021-09-30
2021-10-04,Cameroon,CMR,AFRO,26545863,0.117,77.0%,1,High,0.113,0.121,,,,,,1.5,0.3,2021-09-29
2021-10-04,Central African Republic,CAF,AFRO,4829767,0.006,0.3%,0,Minimal,-0.031,0.043,9.2%,4.9%,constant,2021-10-03,2021-09-26,4.1,0.2,2021-09-30
2021-10-04,Chad,TCD,AFRO,16425864,,,,,,,0.6%,0.3%,constant,2021-10-03,2021-09-26,0.8,0.2,2021-09-29
2021-10-04,Comoros,COM,AFRO,869601,0.071,5.1%,1,Low,0.025,0.119,,,,,,21.9,18.6,2021-09-29
2021-10-04,Congo,COG,AFRO,5518087,0.096,46.7%,2,High,0.084,0.108,9.3%,8.9%,constant,2021-10-03,2021-09-26,4.2,2.1,2021-09-30
2021-10-04,Côte d'Ivoire,CIV,AFRO,26378274,-0.038,16.9%,0,Minimal,-0.045,-0.032,4.3%,5.8%,decreasing,2021-09-26,2021-09-19,,,2021-10-01
