"assessment_date","country","iso3","region","population","growth_rate","relative_incidence","net_increases","epi_classification","growth_rate_lower","growth_rate_upper","tpr_recent","tpr_before","tpr_change","tpr_last_date_recent","tpr_last_date_before","vac_oneplus_dose_per_100","vac_full_per_100","vaccinations_date"
"2021-12-20","Algeria","DZA","AFRO",43851044,0.02,"15.7%",2,"Minimal",0.015,0.025,,,,,,15.7,12.3,"2021-11-30"
"2021-12-20","Angola","AGO","AFRO",32866272,0.138,"11.1%",2,"Medium",0.124,0.153,"5.4%","6.8%","constant","2021-11-28","2021-11-21",22,10.8,"2021-12-15"
"2021-12-20","Benin","BEN","AFRO",12123200,-0.021,"0.2%",0,"Minimal",-0.065,0.022,"0.5%","0.2%","constant","2021-12-12","2021-12-05",11.2,8.8,"2021-12-12"
"2021-12-20","Botswana","BWA","AFRO",2351627,0.156,"23.8%",1,"Medium",0.15,0.162,,,,,,47.9,42.6,"2021-12-15"
"2021-12-20","Burkina Faso","BFA","AFRO",20903273,-0.018,"25.3%",0,"Minimal",-0.028,-0.007,"19.5%","7.3%","increasing","2021-10-24","2021-10-17",2.1,1.6,"2021-12-15"
"2021-12-20","Burundi","BDI","AFRO",11890784,0.22,"66.7%",4,"Very High",0.209,0.232,"4.5%","1.8%","increasing","2021-12-19","2021-12-12",0,0,"2021-12-15"
"2021-12-20","Cabo Verde","CPV","AFRO",555987,0.016,"3.7%",0,"Minimal",-0.007,0.038,"2.8%","1.7%","increasing","2021-12-19","2021-12-12",54.2,45.8,"2021-12-13"
"2021-12-20","Cameroon","CMR","AFRO",26545863,-0.084,"1.3%",0,"Minimal",-0.096,-0.073,,,,,,3,2.4,"2021-12-14"
"2021-12-20","Central African Republic","CAF","AFRO",4829767,0.009,"0.0%",0,"Minimal",-0.012,0.029,,,,,,9.2,7.1,"2021-12-15"
"2021-12-20","Chad","TCD","AFRO",16425864,-0.283,"0.0%",0,"Minimal",-0.308,-0.26,"0.6%","0.9%","constant","2021-10-17","2021-10-10",1.7,0.5,"2021-12-15"
"2021-12-20","Comoros","COM","AFRO",869601,0.077,"12.3%",1,"Medium",0.05,0.105,,,,,,32.5,28.1,"2021-12-10"
"2021-12-20","Congo","COG","AFRO",5518087,0.001,"9.8%",0,"Minimal",-0.018,0.021,"1.5%","1.3%","constant","2021-12-12","2021-12-05",13.3,10.2,"2021-12-15"
"2021-12-20","Côte d'Ivoire","CIV","AFRO",26378274,0.674,"1 757.0%",2,"Very High",0.668,0.679,"0.8%","0.8%","constant","2021-12-12","2021-12-05",12.5,5.7,"2021-12-12"
"2021-12-20","Democratic Republic of the Congo","COD","AFRO",89561403,0.189,"251.1%",5,"Very High",0.184,0.194,"13.5%","9.6%","increasing","2021-08-15","2021-08-08",0.2,0.1,"2021-12-14"
"2021-12-20","Equatorial Guinea","GNQ","AFRO",1402985,-0.054,"0.2%",0,"Minimal",-0.109,-0.002,,,,,,17.8,14.5,"2021-12-16"
"2021-12-20","Eritrea","ERI","AFRO",3546421,-0.002,"21.2%",0,"Minimal",-0.017,0.013,,,,,,,,
"2021-12-20","Eswatini","SWZ","AFRO",1160164,0.124,"141.4%",0,"Very High",0.12,0.127,,,,,,27.6,25.2,"2021-12-14"
"2021-12-20","Ethiopia","ETH","AFRO",114963588,0.107,"18.8%",5,"High",0.102,0.113,"7.5%","2.7%","increasing","2021-12-19","2021-12-12",8,1.3,"2021-12-17"
"2021-12-20","Gabon","GAB","AFRO",2225734,0.031,"7.3%",0,"Minimal",0.016,0.047,,,,,,17.7,7.8,"2021-12-15"
"2021-12-20","Gambia","GMB","AFRO",2416668,0.067,"1.8%",0,"Low",0.024,0.111,,,,,,10,9.4,"2021-12-12"
"2021-12-20","Ghana","GHA","AFRO",31072940,0.103,"10.7%",2,"Medium",0.091,0.114,,,,,,8.5,5,"2021-12-15"
"2021-12-20","Guinea","GIN","AFRO",13132795,-0.015,"1.2%",1,"Minimal",-0.061,0.03,"4.4%","12.1%","constant","2021-12-12","2021-12-05",12.8,6.2,"2021-12-12"
"2021-12-20","Guinea-Bissau","GNB","AFRO",1968001,0.076,"1.5%",0,"Minimal",-0.007,0.167,"1.2%","0.4%","constant","2021-12-19","2021-12-12",19.6,1.1,"2021-12-13"
"2021-12-20","Kenya","KEN","AFRO",53771296,0.27,"65.4%",6,"Very High",0.263,0.276,"17.7%","2.1%","increasing","2021-12-19","2021-12-12",10.7,6.5,"2021-12-16"
"2021-12-20","Lesotho","LSO","AFRO",2142249,0.163,"23.4%",0,"Medium",0.156,0.171,"15.7%","15.8%","constant","2021-12-19","2021-12-12",30.3,29.9,"2021-12-16"
"2021-12-20","Liberia","LBR","AFRO",5057681,,,,,,,,,,,,15.5,14.9,"2021-12-15"
"2021-12-20","Madagascar","MDG","AFRO",27691018,0.051,"22.4%",1,"Low",0.043,0.059,"3.5%","1.3%","increasing","2021-08-29","2021-08-22",2.1,2,"2021-12-06"
"2021-12-20","Malawi","MWI","AFRO",19129952,0.276,"31.4%",5,"High",0.265,0.288,,,,,,7.1,3.4,"2021-12-18"
"2021-12-20","Mali","MLI","AFRO",20250833,0.028,"42.3%",0,"Medium",0.021,0.036,"7.3%","6.7%","constant","2021-12-19","2021-12-12",4.2,1.7,"2021-12-16"
"2021-12-20","Mauritania","MRT","AFRO",4649658,-0.03,"7.3%",1,"Minimal",-0.04,-0.019,"2.5%","2.4%","constant","2021-12-19","2021-12-12",23.9,15.3,"2021-12-16"
"2021-12-20","Mauritius","MUS","AFRO",1271768,0.028,"26.0%",0,"Low",0.024,0.031,"73.8%","47.0%","increasing","2021-11-07","2021-10-31",72.1,71.9,"2021-11-23"
"2021-12-20","Mayotte","MYT","AFRO",272815,0.017,"3.2%",0,"Minimal",-0.004,0.038,,,,,,,,
"2021-12-20","Mozambique","MOZ","AFRO",31255435,0.186,"35.4%",0,"Medium",0.18,0.191,,,,,,23.2,15.3,"2021-12-15"
"2021-12-20","Namibia","NAM","AFRO",2540905,0.097,"22.6%",0,"Medium",0.092,0.102,"11.6%","4.3%","increasing","2021-12-12","2021-12-05",15.2,12.8,"2021-12-15"
"2021-12-20","Niger","NER","AFRO",24206644,-0.05,"5.6%",0,"Minimal",-0.071,-0.028,"1.6%","2.0%","constant","2021-12-19","2021-12-12",2.1,1.9,"2021-11-28"
"2021-12-20","Nigeria","NGA","AFRO",206139589,0.166,"55.1%",0,"High",0.162,0.17,,,,,,4,2,"2021-12-15"
"2021-12-20","Réunion","REU","AFRO",895312,-0.026,"51.8%",1,"Minimal",-0.03,-0.022,,,,,,,,
"2021-12-20","Rwanda","RWA","AFRO",12952218,0.194,"8.5%",6,"High",0.181,0.208,"0.8%","0.2%","increasing","2021-12-19","2021-12-12",52.9,32.3,"2021-12-15"
"2021-12-20","Saint Helena","SHN","AFRO",6071,,,,,,,,,,,,71.8,58.2,"2021-05-05"
"2021-12-20","Sao Tome and Principe","STP","AFRO",219159,,,,,,,,,,,,39.4,23.4,"2021-12-13"
"2021-12-20","Senegal","SEN","AFRO",16743927,0.053,"0.9%",0,"Low",0.027,0.08,"0.9%","0.9%","constant","2021-12-19","2021-12-12",7.9,5.6,"2021-12-15"
"2021-12-20","Seychelles","SYC","AFRO",98347,-0.036,"11.1%",0,"Minimal",-0.048,-0.025,,,,,,83.5,79.5,"2021-12-10"
"2021-12-20","Sierra Leone","SLE","AFRO",7976983,,,,,,,"2.0%","0.7%","increasing","2021-12-19","2021-12-12",9.4,4.8,"2021-12-08"
"2021-12-20","South Africa","ZAF","AFRO",59308690,0.066,"116.7%",0,"Very High",0.066,0.067,"22.9%","17.8%","increasing","2021-12-12","2021-12-05",31.5,26.3,"2021-12-16"
"2021-12-20","South Sudan","SSD","AFRO",11193725,0.224,"37.4%",5,"High",0.205,0.242,"9.0%","1.7%","increasing","2021-12-19","2021-12-12",2,1.6,"2021-12-15"
"2021-12-20","Togo","TGO","AFRO",8278724,0.087,"9.0%",3,"High",0.067,0.107,"3.2%","1.1%","increasing","2021-12-19","2021-12-12",16.3,9.8,"2021-12-10"
"2021-12-20","Uganda","UGA","AFRO",45741007,0.138,"5.0%",6,"High",0.128,0.148,"0.9%","0.6%","increasing","2021-12-12","2021-12-05",14.3,2.8,"2021-12-09"
"2021-12-20","United Republic of Tanzania","TZA","AFRO",59734218,0.126,"0.7%",1,"Medium",0.101,0.152,,,,,,2.7,1.8,"2021-12-06"
"2021-12-20","Western Sahara","ESH","AFRO",597339,,,,,,,,,,,,,,
"2021-12-20","Zambia","ZMB","AFRO",18383955,0.279,"23.1%",5,"High",0.271,0.287,"11.1%","2.0%","increasing","2021-12-19","2021-12-12",,5.3,"2021-12-19"
"2021-12-20","Zimbabwe","ZWE","AFRO",14862924,0.087,"100.7%",0,"Very High",0.085,0.088,"38.1%","33.5%","increasing","2021-12-19","2021-12-12",27.3,20.7,"2021-12-19"
"2021-12-20","Afghanistan","AFG","EMRO",38928346,-0.043,"0.9%",0,"Minimal",-0.057,-0.029,,,,,,11.3,9.2,"2021-11-27"
"2021-12-20","Bahrain","BHR","EMRO",1701575,0.034,"1.8%",2,"Low",0.023,0.045,"1.3%","0.3%","increasing","2021-12-05","2021-11-28",70.3,68.7,"2021-12-19"
"2021-12-20","Djibouti","DJI","EMRO",988000,,,,,,,,,,,,11,2.6,"2021-12-15"
