"assessment_date","country","iso3","region","population","growth_rate","relative_incidence","net_increases","epi_classification","growth_rate_lower","growth_rate_upper","tpr_recent","tpr_before","tpr_change","tpr_last_date_recent","tpr_last_date_before","vac_oneplus_dose_per_100","vac_full_per_100","vaccinations_date"
"2021-10-11","Algeria","DZA","AFRO",43851044,-0.023,"7.3%",0,"Minimal",-0.029,-0.017,,,,,,13.7,9.2,"2021-09-25"
"2021-10-11","Angola","AGO","AFRO",32866272,-0.018,"52.0%",0,"Minimal",-0.022,-0.015,"12.0%","30.6%","decreasing","2021-10-17","2021-10-10",8.7,3.7,"2021-10-08"
"2021-10-11","Benin","BEN","AFRO",12123200,-0.149,"7.8%",0,"Minimal",-0.156,-0.141,"11.2%","17.5%","decreasing","2021-10-03","2021-09-26",1.9,0.2,"2021-09-30"
"2021-10-11","Botswana","BWA","AFRO",2351627,-0.055,"6.6%",0,"Minimal",-0.059,-0.051,,,,,,18.9,10.4,"2021-10-07"
"2021-10-11","Burkina Faso","BFA","AFRO",20903273,0.03,"13.1%",0,"Minimal",0.015,0.045,"5.1%","5.0%","constant","2021-10-10","2021-10-03",1.3,1,"2021-10-09"
"2021-10-11","Burundi","BDI","AFRO",11890784,-0.056,"30.9%",0,"Minimal",-0.062,-0.049,"3.3%","2.8%","increasing","2021-10-10","2021-10-03",,,
"2021-10-11","Cabo Verde","CPV","AFRO",555987,-0.029,"10.4%",0,"Minimal",-0.041,-0.017,"7.4%","10.2%","constant","2021-10-17","2021-10-10",52.3,29.9,"2021-10-09"
"2021-10-11","Cameroon","CMR","AFRO",26545863,-0.023,"34.6%",1,"Minimal",-0.026,-0.019,,,,,,1.5,0.3,"2021-10-06"
"2021-10-11","Central African Republic","CAF","AFRO",4829767,-0.074,"0.4%",0,"Minimal",-0.12,-0.031,"2.4%","4.9%","constant","2021-10-03","2021-09-26",4.1,0.2,"2021-09-30"
"2021-10-11","Chad","TCD","AFRO",16425864,,,,,,,"0.0%","0.9%","constant","2021-10-17","2021-10-10",0.8,0.2,"2021-10-06"
"2021-10-11","Comoros","COM","AFRO",869601,0.005,"2.0%",0,"Minimal",-0.036,0.047,,,,,,22.8,18.6,"2021-10-09"
"2021-10-11","Congo","COG","AFRO",5518087,0.097,"72.3%",2,"High",0.087,0.107,"4.3%","9.3%","decreasing","2021-10-10","2021-10-03",4.6,2.1,"2021-10-07"
"2021-10-11","Côte d'Ivoire","CIV","AFRO",26378274,-0.059,"11.4%",0,"Minimal",-0.067,-0.051,"5.6%","4.3%","increasing","2021-10-03","2021-09-26",7.3,2.2,"2021-10-06"
"2021-10-11","Democratic Republic of the Congo","COD","AFRO",89561403,-0.054,"8.3%",0,"Minimal",-0.066,-0.042,"13.5%","9.6%","increasing","2021-08-15","2021-08-08",0.1,0,"2021-10-08"
"2021-10-11","Equatorial Guinea","GNQ","AFRO",1402985,-0.08,"10.3%",0,"Minimal",-0.089,-0.072,,,,,,16.7,12.5,"2021-10-09"
"2021-10-11","Eritrea","ERI","AFRO",3546421,0.022,"5.2%",0,"Minimal",-0.014,0.058,,,,,,,,
"2021-10-11","Eswatini","SWZ","AFRO",1160164,-0.063,"3.5%",0,"Minimal",-0.074,-0.052,,,,,,19.6,18.9,"2021-10-10"
"2021-10-11","Ethiopia","ETH","AFRO",114963588,-0.036,"38.6%",0,"Minimal",-0.038,-0.034,"11.2%","12.8%","decreasing","2021-10-10","2021-10-03",2.6,0.8,"2021-10-09"
"2021-10-11","Gabon","GAB","AFRO",2225734,0.016,"78.6%",0,"Low",0.011,0.021,"6.4%","3.6%","increasing","2021-10-10","2021-10-03",4.8,3.6,"2021-10-07"
"2021-10-11","Gambia","GMB","AFRO",2416668,-0.186,"0.6%",0,"Minimal",-0.251,-0.129,"0.5%","2.4%","decreasing","2021-10-03","2021-09-26",7.6,7.1,"2021-09-29"
"2021-10-11","Ghana","GHA","AFRO",31072940,-0.053,"14.3%",0,"Minimal",-0.059,-0.047,"8.4%","4.8%","increasing","2021-07-25","2021-07-18",4.4,2.6,"2021-10-07"
"2021-10-11","Guinea","GIN","AFRO",13132795,-0.073,"2.6%",0,"Minimal",-0.097,-0.049,"3.3%","1.5%","increasing","2021-10-10","2021-10-03",9.6,4.6,"2021-10-05"
"2021-10-11","Guinea-Bissau","GNB","AFRO",1968001,-0.095,"1.3%",0,"Minimal",-0.155,-0.04,"0.7%","1.0%","constant","2021-10-10","2021-10-03",5.5,0.5,"2021-10-06"
"2021-10-11","Kenya","KEN","AFRO",53771296,-0.05,"11.2%",0,"Minimal",-0.055,-0.045,"5.2%","3.1%","increasing","2021-10-17","2021-10-10",5.8,1.9,"2021-10-09"
"2021-10-11","Lesotho","LSO","AFRO",2142249,-0.051,"1.4%",0,"Minimal",-0.055,-0.047,,,,,,16.2,15.8,"2021-10-10"
"2021-10-11","Liberia","LBR","AFRO",5057681,,"0.3%",0,,,,,,,,,1.7,0.2,"2021-10-06"
"2021-10-11","Madagascar","MDG","AFRO",27691018,-0.029,"0.0%",0,"Minimal",-0.081,0.023,"3.5%","1.3%","increasing","2021-08-29","2021-08-22",0.7,0.7,"2021-09-20"
"2021-10-11","Malawi","MWI","AFRO",19129952,-0.064,"0.9%",0,"Minimal",-0.083,-0.044,,,,,,4.5,2.7,"2021-10-11"
"2021-10-11","Mali","MLI","AFRO",20250833,0.038,"11.5%",1,"Low",0.022,0.054,"5.1%","2.1%","increasing","2021-10-17","2021-10-10",1.6,1.2,"2021-10-01"
"2021-10-11","Mauritania","MRT","AFRO",4649658,-0.035,"7.3%",0,"Minimal",-0.046,-0.024,"3.2%","2.7%","constant","2021-10-17","2021-10-10",,12.3,"2021-09-27"
"2021-10-11","Mauritius","MUS","AFRO",1271768,-0.02,"14.1%",0,"Minimal",-0.028,-0.012,"26.1%","14.2%","increasing","2021-10-10","2021-10-03",68.4,64.2,"2021-10-07"
"2021-10-11","Mayotte","MYT","AFRO",272815,-0.023,"2.1%",0,"Minimal",-0.045,-0.001,,,,,,,,
"2021-10-11","Mozambique","MOZ","AFRO",31255435,-0.083,"1.4%",0,"Minimal",-0.094,-0.071,"5.6%","18.7%","decreasing","2021-10-17","2021-10-10",6.1,5.7,"2021-10-08"
"2021-10-11","Namibia","NAM","AFRO",2540905,-0.031,"2.4%",0,"Minimal",-0.04,-0.021,"8.4%","7.8%","constant","2021-10-03","2021-09-26",10.9,7.7,"2021-10-07"
"2021-10-11","Niger","NER","AFRO",24206644,0.054,"9.0%",0,"Low",0.027,0.082,"2.3%","2.6%","constant","2021-10-10","2021-10-03",1.8,0.9,"2021-10-10"
"2021-10-11","Nigeria","NGA","AFRO",206139589,-0.038,"14.6%",0,"Minimal",-0.043,-0.034,,,,,,2.4,1.1,"2021-10-07"
"2021-10-11","Réunion","REU","AFRO",895312,0.104,"0.9%",0,"Medium",0.091,0.117,,,,,,,,
"2021-10-11","Rwanda","RWA","AFRO",12952218,-0.053,"8.1%",0,"Minimal",-0.059,-0.047,"1.9%","1.1%","increasing","2021-10-17","2021-10-10",16.9,13.1,"2021-10-10"
"2021-10-11","Saint Helena","SHN","AFRO",6071,,,,,,,,,,,,71.8,58.2,"2021-05-05"
"2021-10-11","Sao Tome and Principe","STP","AFRO",219159,-0.084,"27.6%",0,"Minimal",-0.099,-0.069,,,,,,33.6,12.6,"2021-10-09"
"2021-10-11","Senegal","SEN","AFRO",16743927,-0.069,"0.6%",0,"Minimal",-0.094,-0.044,"0.4%","0.4%","constant","2021-10-17","2021-10-10",7.5,3.4,"2021-10-07"
"2021-10-11","Seychelles","SYC","AFRO",98347,-0.017,"10.4%",1,"Minimal",-0.03,-0.004,,,,,,78.6,72.3,"2021-09-16"
"2021-10-11","Sierra Leone","SLE","AFRO",7976983,,,,,,,"0.0%","0.5%","decreasing","2021-10-10","2021-10-03",2.4,0.6,"2021-09-29"
"2021-10-11","South Africa","ZAF","AFRO",59308690,-0.071,"4.0%",0,"Minimal",-0.073,-0.069,"4.6%","7.1%","decreasing","2021-10-03","2021-09-26",22.7,16.7,"2021-10-11"
"2021-10-11","South Sudan","SSD","AFRO",11193725,-0.042,"4.6%",0,"Minimal",-0.061,-0.024,"3.2%","2.3%","constant","2021-10-17","2021-10-10",0.7,0.3,"2021-10-08"
"2021-10-11","Togo","TGO","AFRO",8278724,-0.082,"10.3%",0,"Minimal",-0.092,-0.072,"3.7%","2.4%","constant","2021-10-17","2021-10-10",9.7,4.9,"2021-10-08"
"2021-10-11","Uganda","UGA","AFRO",45741007,,"2.5%",0,,,,"0.0%","28.5%","decreasing","2021-10-03","2021-09-26",4.8,0.9,"2021-10-07"
"2021-10-11","United Republic of Tanzania","TZA","AFRO",59734218,-0.624,"0.3%",0,"Minimal",-0.632,-0.616,,,,,,,0.9,"2021-10-03"
"2021-10-11","Western Sahara","ESH","AFRO",597339,,,,,,,,,,,,,,
"2021-10-11","Zambia","ZMB","AFRO",18383955,-0.064,"0.9%",0,"Minimal",-0.076,-0.053,"0.6%","0.8%","decreasing","2021-10-10","2021-10-03",,2.5,"2021-10-11"
"2021-10-11","Zimbabwe","ZWE","AFRO",14862924,-0.068,"3.9%",0,"Minimal",-0.073,-0.062,"5.0%","5.3%","constant","2021-10-03","2021-09-26",21.4,16.3,"2021-10-11"
"2021-10-11","Afghanistan","AFG","EMRO",38928346,-0.045,"1.6%",0,"Minimal",-0.057,-0.034,,,,,,2.1,,"2021-09-30"
"2021-10-11","Bahrain","BHR","EMRO",1701575,-0.006,"2.2%",1,"Minimal",-0.015,0.003,"0.4%","0.4%","constant","2021-10-10","2021-10-03",68.7,66.4,"2021-10-11"
"2021-10-11","Djibouti","DJI","EMRO",988000,-0.029,"21.9%",0,"Minimal",-0.039,-0.02,,,,,,6.7,2.6,"2021-09-30"
"2021-10-11","Egypt","EGY","EMRO",102334404,0.013,"51.6%",0,"Low",0.01,0.015,,,,,,13.2,6.5,"2021-10-08"
"2021-10-11","Iran (Islamic Republic of)","IRN","EMRO",83992949,-0.022,"27.9%",0,"Minimal",-0.022,-0.021,"25.6%","20.9%","increasing","2021-10-10","2021-10-03",48.8,19.9,"2021-10-03"
"2021-10-11","Iraq","IRQ","EMRO",40222493,-0.028,"15.6%",0,"Minimal",-0.03,-0.027,"11.1%","22.5%","decreasing","2021-10-03","2021-09-26",11.6,7.3,"2021-09-26"
