"assessment_date","country","iso3","region","population","growth_rate","relative_incidence","net_increases","epi_classification","growth_rate_lower","growth_rate_upper","tpr_recent","tpr_before","tpr_change","tpr_last_date_recent","tpr_last_date_before","vac_oneplus_dose_per_100","vac_full_per_100","vaccinations_date"
"2022-02-07","Algeria","DZA","AFRO",43851044,-0.002,"54.4%",0,"Low",-0.004,-0.001,,,,,,16.5,13.2,"2022-01-09"
"2022-02-07","Angola","AGO","AFRO",32866272,-0.1,"2.4%",0,"Minimal",-0.105,-0.095,,,,,,29.6,14.4,"2022-01-28"
"2022-02-07","Benin","BEN","AFRO",12123200,-0.136,"0.8%",0,"Minimal",-0.154,-0.118,"5.4%","10.5%","decreasing","2022-01-23","2022-01-16",16.8,13.4,"2022-01-18"
"2022-02-07","Botswana","BWA","AFRO",2351627,-0.012,"30.5%",0,"Minimal",-0.014,-0.009,,,,,,,,
"2022-02-07","Burkina Faso","BFA","AFRO",20903273,-0.154,"3.4%",0,"Minimal",-0.169,-0.139,,,,,,5.6,3.7,"2022-01-13"
"2022-02-07","Burundi","BDI","AFRO",11890784,-0.026,"4.3%",0,"Minimal",-0.037,-0.016,"2.4%","2.3%","constant","2022-02-06","2022-01-30",0.1,0.1,"2022-01-13"
"2022-02-07","Cabo Verde","CPV","AFRO",555987,-0.15,"1.5%",0,"Minimal",-0.159,-0.14,"3.8%","7.5%","decreasing","2022-02-06","2022-01-30",57.8,48.2,"2022-01-14"
"2022-02-07","Cameroon","CMR","AFRO",26545863,-0.039,"10.7%",0,"Minimal",-0.042,-0.035,,,,,,3.2,2.5,"2022-01-09"
"2022-02-07","Central African Republic","CAF","AFRO",4829767,-0.031,"2.6%",0,"Minimal",-0.044,-0.019,,,,,,11.9,11.4,"2022-01-31"
"2022-02-07","Chad","TCD","AFRO",16425864,,"13.8%",0,,,,"4.3%","8.5%","decreasing","2022-02-06","2022-01-30",1.6,0.8,"2022-01-30"
"2022-02-07","Comoros","COM","AFRO",869601,0.072,"7.4%",2,"Low",0.048,0.097,"16.1%","56.7%","decreasing","2022-01-16","2022-01-09",39.2,29.5,"2022-01-27"
"2022-02-07","Congo","COG","AFRO",5518087,-0.145,"1.4%",0,"Minimal",-0.159,-0.13,"0.8%","4.7%","decreasing","2022-02-06","2022-01-30",11.3,10.6,"2021-12-28"
"2022-02-07","Côte d'Ivoire","CIV","AFRO",26378274,-0.069,"3.2%",0,"Minimal",-0.077,-0.061,"36.7%","26.8%","increasing","2022-01-30","2022-01-23",19.7,9,"2022-01-27"
"2022-02-07","Democratic Republic of the Congo","COD","AFRO",89561403,-0.087,"4.6%",0,"Minimal",-0.094,-0.08,,,,,,0.4,0.2,"2022-01-29"
"2022-02-07","Equatorial Guinea","GNQ","AFRO",1402985,-0.131,"1.7%",0,"Minimal",-0.147,-0.114,,,,,,17.9,14.6,"2022-01-18"
"2022-02-07","Eritrea","ERI","AFRO",3546421,-0.071,"21.1%",0,"Minimal",-0.084,-0.059,,,,,,,,
"2022-02-07","Eswatini","SWZ","AFRO",1160164,-0,"2.9%",2,"Minimal",-0.012,0.012,"4.4%","5.4%","constant","2022-02-06","2022-01-30",32.3,28.9,"2022-02-01"
"2022-02-07","Ethiopia","ETH","AFRO",114963588,-0.082,"5.7%",0,"Minimal",-0.085,-0.079,,,,,,8.2,1.4,"2022-02-03"
"2022-02-07","Gabon","GAB","AFRO",2225734,-0.035,"11.3%",0,"Minimal",-0.043,-0.028,"5.7%","11.0%","decreasing","2022-02-06","2022-01-30",12.8,10.5,"2022-01-22"
"2022-02-07","Gambia","GMB","AFRO",2416668,0.072,"3.9%",0,"Medium",0.052,0.091,"3.7%","20.1%","decreasing","2022-02-06","2022-01-30",13.2,12.6,"2022-01-21"
"2022-02-07","Ghana","GHA","AFRO",31072940,-0.029,"9.0%",0,"Minimal",-0.034,-0.024,,,,,,22.1,10.1,"2022-01-17"
"2022-02-07","Guinea","GIN","AFRO",13132795,-0.089,"12.0%",0,"Minimal",-0.1,-0.078,"15.5%","13.8%","constant","2022-02-06","2022-01-30",26.9,14.3,"2022-02-01"
"2022-02-07","Guinea-Bissau","GNB","AFRO",1968001,-0.026,"32.8%",0,"Minimal",-0.038,-0.014,"15.3%","19.0%","constant","2022-02-06","2022-01-30",20.7,1.4,"2022-02-02"
"2022-02-07","Kenya","KEN","AFRO",53771296,-0.08,"4.2%",0,"Minimal",-0.086,-0.075,,,,,,13.1,11.5,"2022-02-05"
"2022-02-07","Lesotho","LSO","AFRO",2142249,-0.048,"1.2%",0,"Minimal",-0.063,-0.034,"9.4%","3.3%","increasing","2022-02-06","2022-01-30",36.5,34,"2021-12-31"
"2022-02-07","Liberia","LBR","AFRO",5057681,-0.106,"2.0%",0,"Minimal",-0.136,-0.078,,,,,,20.1,19.5,"2022-01-07"
"2022-02-07","Madagascar","MDG","AFRO",27691018,0.11,"41.2%",0,"High",0.105,0.115,,,,,,3,2.8,"2022-01-05"
"2022-02-07","Malawi","MWI","AFRO",19129952,-0.071,"5.8%",2,"Minimal",-0.078,-0.064,,,,,,7.9,4.1,"2022-02-04"
"2022-02-07","Mali","MLI","AFRO",20250833,,"3.4%",0,,,,"4.1%","4.2%","constant","2022-02-06","2022-01-30",5,3.1,"2022-01-21"
"2022-02-07","Mauritania","MRT","AFRO",4649658,-0.149,"3.3%",0,"Minimal",-0.155,-0.143,,,,,,31.5,21,"2022-01-24"
"2022-02-07","Mauritius","MUS","AFRO",1271768,-0.116,"0.0%",0,"Minimal",-0.127,-0.105,"73.8%","47.0%","increasing","2021-11-07","2021-10-31",74.5,71.5,"2021-12-28"
"2022-02-07","Mayotte","MYT","AFRO",272815,-0.193,"2.1%",0,"Minimal",-0.202,-0.185,,,,,,,,
"2022-02-07","Mozambique","MOZ","AFRO",31255435,-0.11,"1.9%",0,"Minimal",-0.114,-0.105,,,,,,34.4,28.9,"2022-01-28"
"2022-02-07","Namibia","NAM","AFRO",2540905,-0.063,"3.6%",0,"Minimal",-0.071,-0.056,"16.0%","20.5%","decreasing","2022-01-23","2022-01-16",16.5,14,"2022-01-26"
"2022-02-07","Niger","NER","AFRO",24206644,-0.093,"4.2%",0,"Minimal",-0.114,-0.074,"2.4%","3.7%","constant","2022-02-06","2022-01-30",6,4.2,"2022-01-31"
"2022-02-07","Nigeria","NGA","AFRO",206139589,-0.054,"4.9%",0,"Minimal",-0.06,-0.048,,,,,,7.2,2.6,"2022-01-29"
"2022-02-07","Réunion","REU","AFRO",895312,-0.016,"58.1%",1,"Low",-0.017,-0.015,,,,,,,,
