"assessment_date","country","iso3","region","population","growth_rate","relative_incidence","net_increases","epi_classification","growth_rate_lower","growth_rate_upper","tpr_recent","tpr_before","tpr_change","tpr_last_date_recent","tpr_last_date_before","vac_oneplus_dose_per_100","vac_full_per_100","vaccinations_date"
"2022-01-24","Algeria","DZA","AFRO",43851044,0.096,"84.5%",5,"Very High",0.093,0.099,,,,,,16.5,13.2,"2022-01-09"
"2022-01-24","Angola","AGO","AFRO",32866272,-0.059,"19.5%",0,"Minimal",-0.062,-0.057,,,,,,25.2,13.1,"2022-01-14"
"2022-01-24","Benin","BEN","AFRO",12123200,-0.087,"4.8%",1,"Minimal",-0.097,-0.078,,,,,,15,11.7,"2022-01-03"
"2022-01-24","Botswana","BWA","AFRO",2351627,-0.026,"36.1%",0,"Minimal",-0.029,-0.024,,,,,,,,
"2022-01-24","Burkina Faso","BFA","AFRO",20903273,-0.089,"27.0%",0,"Minimal",-0.096,-0.083,"35.5%","38.7%","constant","2022-01-23","2022-01-16",5.6,3.7,"2022-01-13"
"2022-01-24","Burundi","BDI","AFRO",11890784,-0.155,"7.0%",0,"Minimal",-0.16,-0.149,"3.0%","3.4%","constant","2022-01-23","2022-01-16",0.1,0.1,"2022-01-13"
"2022-01-24","Cabo Verde","CPV","AFRO",555987,-0.091,"17.1%",0,"Minimal",-0.094,-0.088,"15.6%","25.6%","decreasing","2022-01-23","2022-01-16",57.8,48.2,"2022-01-14"
"2022-01-24","Cameroon","CMR","AFRO",26545863,0.153,"49.7%",1,"High",0.148,0.159,,,,,,3.2,2.5,"2022-01-09"
"2022-01-24","Central African Republic","CAF","AFRO",4829767,-0.015,"4.7%",0,"Minimal",-0.023,-0.006,"36.5%","3.6%","increasing","2022-01-09","2022-01-02",10.6,10.2,"2022-01-15"
"2022-01-24","Chad","TCD","AFRO",16425864,0.036,"55.5%",1,"Medium",0.023,0.048,"0.6%","0.9%","constant","2021-10-17","2021-10-10",1.6,0.7,"2022-01-16"
"2022-01-24","Comoros","COM","AFRO",869601,-0.222,"4.4%",0,"Minimal",-0.237,-0.207,"16.1%","56.7%","decreasing","2022-01-16","2022-01-09",38.6,28.3,"2021-12-31"
"2022-01-24","Congo","COG","AFRO",5518087,-0.024,"23.0%",0,"Minimal",-0.031,-0.017,"10.8%","12.2%","constant","2022-01-23","2022-01-16",11.3,10.6,"2021-12-28"
"2022-01-24","Côte d'Ivoire","CIV","AFRO",26378274,-0.096,"11.8%",0,"Minimal",-0.099,-0.092,"7.1%","13.5%","decreasing","2022-01-16","2022-01-09",19.6,8.8,"2022-01-18"
"2022-01-24","Democratic Republic of the Congo","COD","AFRO",89561403,-0.073,"22.2%",0,"Minimal",-0.077,-0.069,,,,,,0.3,0.2,"2022-01-13"
"2022-01-24","Equatorial Guinea","GNQ","AFRO",1402985,-0.016,"15.0%",0,"Minimal",-0.024,-0.009,,,,,,17.9,14.6,"2022-01-18"
"2022-01-24","Eritrea","ERI","AFRO",3546421,0.015,"64.0%",0,"Low",0.006,0.024,,,,,,,,
"2022-01-24","Eswatini","SWZ","AFRO",1160164,-0.085,"3.0%",0,"Minimal",-0.093,-0.077,,,,,,30.4,27.7,"2022-01-17"
"2022-01-24","Ethiopia","ETH","AFRO",114963588,-0.076,"18.1%",0,"Minimal",-0.078,-0.075,"58.8%","8.0%","increasing","2021-12-19","2021-12-12",8.1,1.4,"2022-01-17"
"2022-01-24","Gabon","GAB","AFRO",2225734,-0.06,"20.1%",0,"Minimal",-0.065,-0.055,"10.1%","9.8%","constant","2022-01-23","2022-01-16",12.5,10,"2022-01-16"
"2022-01-24","Gambia","GMB","AFRO",2416668,-0.074,"0.0%",0,"Minimal",-0.083,-0.065,"5.0%","2.0%","increasing","2022-01-02","2021-12-26",10.9,10.3,"2021-12-28"
"2022-01-24","Ghana","GHA","AFRO",31072940,-0.094,"14.6%",0,"Minimal",-0.098,-0.091,,,,,,22.1,10.1,"2022-01-17"
"2022-01-24","Guinea","GIN","AFRO",13132795,-0.078,"31.4%",0,"Minimal",-0.084,-0.072,"30.6%","29.3%","constant","2022-01-23","2022-01-16",18.8,9.9,"2022-01-15"
