"assessment_date","country","iso3","region","population","growth_rate","relative_incidence","net_increases","epi_classification","growth_rate_lower","growth_rate_upper","tpr_recent","tpr_before","tpr_change","tpr_last_date_recent","tpr_last_date_before","vac_oneplus_dose_per_100","vac_full_per_100","vaccinations_date"
"2022-01-03","Algeria","DZA","AFRO",43851044,0.026,"24.3%",0,"Low",0.022,0.03,,,,,,16.1,12.8,"2021-12-21"
"2022-01-03","Angola","AGO","AFRO",32866272,0.115,"192.1%",0,"Very High",0.112,0.118,"5.4%","6.8%","constant","2021-11-28","2021-11-21",23.4,12,"2021-12-30"
"2022-01-03","Benin","BEN","AFRO",12123200,0.746,"10.2%",1,"Medium",0.688,0.807,"0.1%","0.5%","decreasing","2021-12-19","2021-12-12",14,10.9,"2021-12-27"
"2022-01-03","Botswana","BWA","AFRO",2351627,0.003,"44.2%",0,"Low",0.001,0.005,,,,,,49.6,43.9,"2021-12-30"
"2022-01-03","Burkina Faso","BFA","AFRO",20903273,-0.045,"44.3%",1,"Minimal",-0.054,-0.036,"19.5%","7.3%","increasing","2021-10-24","2021-10-17",4.7,3.1,"2021-12-22"
"2022-01-03","Burundi","BDI","AFRO",11890784,0.057,"127.2%",1,"Very High",0.054,0.06,"5.7%","3.3%","increasing","2022-01-02","2021-12-26",0,0,"2021-12-30"
"2022-01-03","Cabo Verde","CPV","AFRO",555987,0.226,"209.4%",2,"Very High",0.22,0.234,"23.1%","8.8%","increasing","2022-01-02","2021-12-26",54.5,46,"2021-12-17"
"2022-01-03","Cameroon","CMR","AFRO",26545863,-0.035,"2.5%",0,"Minimal",-0.045,-0.025,,,,,,3.1,2.5,"2021-12-28"
"2022-01-03","Central African Republic","CAF","AFRO",4829767,-0.019,"0.0%",0,"Minimal",-0.042,0.004,"0.0%","28.1%","decreasing","2021-12-19","2021-12-12",9.3,7.2,"2021-12-30"
"2022-01-03","Chad","TCD","AFRO",16425864,0.405,"80.9%",1,"Very High",0.369,0.442,"0.6%","0.9%","constant","2021-10-17","2021-10-10",1.7,0.5,"2021-12-15"
"2022-01-03","Comoros","COM","AFRO",869601,0.085,"100.9%",0,"Very High",0.078,0.092,,,,,,38.6,28.3,"2021-12-31"
"2022-01-03","Congo","COG","AFRO",5518087,0.114,"103.0%",1,"Very High",0.106,0.122,,,,,,13.3,10.2,"2021-12-15"
"2022-01-03","Côte d'Ivoire","CIV","AFRO",26378274,0.163,"209.3%",0,"Very High",0.159,0.167,"29.3%","11.4%","increasing","2022-01-02","2021-12-26",18.8,8.2,"2021-12-31"
"2022-01-03","Democratic Republic of the Congo","COD","AFRO",89561403,-0.001,"100.4%",1,"Medium",-0.004,0.001,,,,,,0.3,0.1,"2021-12-29"
"2022-01-03","Equatorial Guinea","GNQ","AFRO",1402985,0.129,"3.2%",1,"Medium",0.092,0.169,,,,,,17.8,14.5,"2021-12-22"
"2022-01-03","Eritrea","ERI","AFRO",3546421,0.012,"27.6%",0,"Minimal",-0.004,0.028,,,,,,,,
