"assessment_date","country","iso3","region","population","growth_rate","relative_incidence","net_increases","epi_classification","growth_rate_lower","growth_rate_upper","tpr_recent","tpr_before","tpr_change","tpr_last_date_recent","tpr_last_date_before","vac_oneplus_dose_per_100","vac_full_per_100","vaccinations_date"
"2021-10-11","Algeria","DZA","AFRO",43851044,-0.036,"7.8%",0,"Minimal",-0.041,-0.03,,,,,,13.7,9.2,"2021-09-25"
"2021-10-11","Angola","AGO","AFRO",32866272,0.015,"69.4%",0,"Low",0.012,0.018,"30.6%","30.0%","constant","2021-10-10","2021-10-03",8.7,3.7,"2021-10-08"
"2021-10-11","Benin","BEN","AFRO",12123200,-0.078,"7.8%",0,"Minimal",-0.084,-0.071,"11.2%","17.5%","decreasing","2021-10-03","2021-09-26",1.9,0.2,"2021-09-30"
"2021-10-11","Botswana","BWA","AFRO",2351627,-0.081,"7.7%",0,"Minimal",-0.085,-0.077,,,,,,18.9,10.4,"2021-10-07"
"2021-10-11","Burkina Faso","BFA","AFRO",20903273,0.034,"12.6%",0,"Minimal",0.018,0.05,"7.6%","5.0%","increasing","2021-10-10","2021-10-03",1.3,1,"2021-10-09"
"2021-10-11","Burundi","BDI","AFRO",11890784,-0.008,"33.6%",0,"Minimal",-0.014,-0.002,"4.1%","2.8%","increasing","2021-10-10","2021-10-03",,,
"2021-10-11","Cabo Verde","CPV","AFRO",555987,-0.022,"10.0%",0,"Minimal",-0.033,-0.01,"11.9%","5.0%","increasing","2021-10-10","2021-10-03",52.3,29.9,"2021-10-09"
"2021-10-11","Cameroon","CMR","AFRO",26545863,0.032,"34.6%",1,"Low",0.029,0.035,,,,,,1.5,0.3,"2021-10-06"
"2021-10-11","Central African Republic","CAF","AFRO",4829767,-0.017,"0.4%",0,"Minimal",-0.059,0.024,"2.4%","4.9%","constant","2021-10-03","2021-09-26",4.1,0.2,"2021-09-30"
"2021-10-11","Chad","TCD","AFRO",16425864,,,,,,,"0.9%","0.5%","constant","2021-10-10","2021-10-03",0.8,0.2,"2021-10-06"
"2021-10-11","Comoros","COM","AFRO",869601,0.006,"2.0%",0,"Minimal",-0.037,0.05,,,,,,22.8,18.6,"2021-10-09"
"2021-10-11","Congo","COG","AFRO",5518087,-0.031,"28.3%",1,"Minimal",-0.041,-0.021,"11.0%","9.3%","constant","2021-10-10","2021-10-03",4.6,2.1,"2021-10-07"
"2021-10-11","Côte d'Ivoire","CIV","AFRO",26378274,-0.047,"11.6%",0,"Minimal",-0.054,-0.039,"5.6%","4.3%","increasing","2021-10-03","2021-09-26",,,"2021-10-07"
"2021-10-11","Democratic Republic of the Congo","COD","AFRO",89561403,-0.018,"7.8%",0,"Minimal",-0.03,-0.006,"13.5%","9.6%","increasing","2021-08-15","2021-08-08",0.1,0,"2021-10-08"
"2021-10-11","Equatorial Guinea","GNQ","AFRO",1402985,-0.051,"11.9%",0,"Minimal",-0.06,-0.043,,,,,,16.5,12.2,"2021-10-06"
"2021-10-11","Eritrea","ERI","AFRO",3546421,0.012,"3.1%",0,"Minimal",-0.027,0.051,,,,,,,,
"2021-10-11","Eswatini","SWZ","AFRO",1160164,-0.023,"5.0%",1,"Minimal",-0.033,-0.012,,,,,,19.6,18.9,"2021-10-10"
"2021-10-11","Ethiopia","ETH","AFRO",114963588,-0.016,"40.5%",0,"Low",-0.018,-0.013,"15.3%","15.7%","constant","2021-09-26","2021-09-19",2.6,0.8,"2021-10-07"
"2021-10-11","Gabon","GAB","AFRO",2225734,0.012,"97.7%",0,"High",0.007,0.017,"6.4%","3.6%","increasing","2021-10-10","2021-10-03",4.8,3.6,"2021-10-07"
"2021-10-11","Gambia","GMB","AFRO",2416668,-0.104,"0.6%",0,"Minimal",-0.156,-0.056,"0.5%","2.4%","decreasing","2021-10-03","2021-09-26",7.6,7.1,"2021-09-29"
"2021-10-11","Ghana","GHA","AFRO",31072940,-0.041,"14.3%",0,"Minimal",-0.047,-0.036,"8.4%","4.8%","increasing","2021-07-25","2021-07-18",4.4,2.6,"2021-10-07"
"2021-10-11","Guinea","GIN","AFRO",13132795,-0.116,"3.4%",0,"Minimal",-0.137,-0.096,"3.3%","1.5%","increasing","2021-10-10","2021-10-03",9.6,4.6,"2021-10-05"
"2021-10-11","Guinea-Bissau","GNB","AFRO",1968001,-0.066,"1.3%",0,"Minimal",-0.122,-0.013,"0.8%","1.0%","constant","2021-10-10","2021-10-03",5.5,0.5,"2021-10-06"
"2021-10-11","Kenya","KEN","AFRO",53771296,-0.027,"10.9%",0,"Minimal",-0.032,-0.022,"3.4%","4.3%","decreasing","2021-10-10","2021-10-03",5.8,1.9,"2021-10-07"
"2021-10-11","Lesotho","LSO","AFRO",2142249,0.004,"1.6%",0,"Minimal",-0,0.008,,,,,,16.2,15.8,"2021-10-10"
"2021-10-11","Liberia","LBR","AFRO",5057681,,"0.2%",0,,,,,,,,,1.7,0.2,"2021-10-06"
"2021-10-11","Madagascar","MDG","AFRO",27691018,-0.5,"0.3%",1,"Minimal",-0.538,-0.465,"3.5%","1.3%","increasing","2021-08-29","2021-08-22",0.7,0.7,"2021-09-20"
"2021-10-11","Malawi","MWI","AFRO",19129952,-0.049,"0.9%",0,"Minimal",-0.067,-0.031,,,,,,4.4,2.6,"2021-10-07"
"2021-10-11","Mali","MLI","AFRO",20250833,0.058,"10.6%",0,"Low",0.042,0.076,"2.4%","1.6%","increasing","2021-10-10","2021-10-03",1.6,1.2,"2021-10-01"
"2021-10-11","Mauritania","MRT","AFRO",4649658,-0.043,"8.0%",0,"Minimal",-0.053,-0.033,"3.1%","3.1%","constant","2021-10-10","2021-10-03",,12.3,"2021-09-27"
"2021-10-11","Mauritius","MUS","AFRO",1271768,-0.063,"20.5%",0,"Minimal",-0.07,-0.055,"26.1%","14.2%","increasing","2021-10-10","2021-10-03",68.4,64.2,"2021-10-07"
"2021-10-11","Mayotte","MYT","AFRO",272815,-0.054,"2.1%",0,"Minimal",-0.074,-0.034,,,,,,,,
"2021-10-11","Mozambique","MOZ","AFRO",31255435,-0.055,"1.3%",0,"Minimal",-0.066,-0.045,"18.7%","5.1%","increasing","2021-10-10","2021-10-03",6.1,5.7,"2021-10-08"
"2021-10-11","Namibia","NAM","AFRO",2540905,-0.034,"3.5%",5,"Low",-0.043,-0.025,"8.4%","7.8%","constant","2021-10-03","2021-09-26",10.9,7.7,"2021-10-07"
"2021-10-11","Niger","NER","AFRO",24206644,0.046,"7.2%",0,"Minimal",0.019,0.075,"3.2%","2.6%","constant","2021-10-10","2021-10-03",1.8,0.9,"2021-10-10"
"2021-10-11","Nigeria","NGA","AFRO",206139589,-0.027,"13.2%",0,"Minimal",-0.031,-0.023,,,,,,2.4,1.1,"2021-10-07"
"2021-10-11","Réunion","REU","AFRO",895312,-0.037,"11.1%",0,"Minimal",-0.046,-0.028,,,,,,,,
"2021-10-11","Rwanda","RWA","AFRO",12952218,-0.039,"8.4%",0,"Minimal",-0.045,-0.033,"1.3%","1.1%","increasing","2021-10-10","2021-10-03",16.5,13,"2021-10-05"
"2021-10-11","Saint Helena","SHN","AFRO",6071,,,,,,,,,,,,71.8,58.2,"2021-05-05"
"2021-10-11","Sao Tome and Principe","STP","AFRO",219159,-0.05,"28.2%",0,"Minimal",-0.064,-0.036,,,,,,33.6,12.6,"2021-10-09"
"2021-10-11","Senegal","SEN","AFRO",16743927,-0.061,"0.6%",0,"Minimal",-0.084,-0.038,"0.5%","0.7%","constant","2021-10-10","2021-10-03",7.5,3.4,"2021-10-07"
"2021-10-11","Seychelles","SYC","AFRO",98347,0.003,"9.1%",0,"Minimal",-0.01,0.016,,,,,,78.6,72.3,"2021-09-16"
"2021-10-11","Sierra Leone","SLE","AFRO",7976983,,,,,,,"0.0%","0.5%","decreasing","2021-10-10","2021-10-03",2.4,0.6,"2021-09-29"
"2021-10-11","South Africa","ZAF","AFRO",59308690,-0.054,"4.2%",0,"Minimal",-0.056,-0.052,"4.6%","7.1%","decreasing","2021-10-03","2021-09-26",22.4,16.3,"2021-10-08"
"2021-10-11","South Sudan","SSD","AFRO",11193725,-0.03,"5.2%",0,"Minimal",-0.049,-0.012,"2.3%","2.6%","constant","2021-10-10","2021-10-03",0.7,0.3,"2021-10-08"
"2021-10-11","Togo","TGO","AFRO",8278724,-0.059,"11.4%",0,"Minimal",-0.068,-0.049,"2.6%","4.9%","decreasing","2021-10-10","2021-10-03",9.7,4.9,"2021-10-08"
"2021-10-11","Uganda","UGA","AFRO",45741007,,"2.3%",0,,,,"0.0%","28.5%","decreasing","2021-10-03","2021-09-26",4.8,0.9,"2021-10-07"
