"assessment_date","country","iso3","region","population","growth_rate","relative_incidence","net_increases","epi_classification","growth_rate_lower","growth_rate_upper","tpr_recent","tpr_before","tpr_change","tpr_last_date_recent","tpr_last_date_before","vac_oneplus_dose_per_100","vac_full_per_100","vaccinations_date"
"2022-02-21","Algeria","DZA","AFRO",43851044,-0.095,"22.8%",2,"Minimal",-0.097,-0.092,,,,,,16.9,13.7,"2022-02-08"
"2022-02-21","Angola","AGO","AFRO",32866272,-0.146,"0.9%",0,"Minimal",-0.159,-0.133,,,,,,31.2,15.5,"2022-02-09"
"2022-02-21","Benin","BEN","AFRO",12123200,0.054,"1.2%",0,"Low",0.024,0.086,"0.7%","1.1%","constant","2022-02-13","2022-02-06",18.7,14.6,"2022-02-04"
"2022-02-21","Botswana","BWA","AFRO",2351627,-0.076,"19.1%",0,"Minimal",-0.078,-0.073,,,,,,58.5,47.8,"2022-02-09"
"2022-02-21","Burkina Faso","BFA","AFRO",20903273,-0.124,"2.0%",0,"Minimal",-0.15,-0.098,"0.8%","2.2%","decreasing","2022-02-13","2022-02-06",5.6,3.7,"2022-01-13"
"2022-02-21","Burundi","BDI","AFRO",11890784,-0.049,"3.4%",0,"Minimal",-0.061,-0.037,"1.8%","1.8%","constant","2022-02-20","2022-02-13",0.1,0.1,"2022-02-09"
"2022-02-21","Cabo Verde","CPV","AFRO",555987,-0.134,"0.5%",0,"Minimal",-0.155,-0.115,"10.2%","9.8%","constant","2022-02-06","2022-01-30",62.3,52.4,"2022-02-11"
"2022-02-21","Cameroon","CMR","AFRO",26545863,-0.097,"11.2%",0,"Minimal",-0.102,-0.091,,,,,,3.2,2.5,"2022-01-14"
"2022-02-21","Central African Republic","CAF","AFRO",4829767,-0.018,"1.9%",0,"Minimal",-0.035,-0,,,,,,12.8,12.3,"2022-02-06"
"2022-02-21","Chad","TCD","AFRO",16425864,-0.041,"0.0%",0,"Minimal",-0.069,-0.014,"4.3%","8.5%","decreasing","2022-02-06","2022-01-30",1.6,0.8,"2022-02-04"
"2022-02-21","Comoros","COM","AFRO",869601,0.023,"2.9%",0,"Minimal",-0.001,0.046,"16.1%","56.7%","decreasing","2022-01-16","2022-01-09",39.2,34.1,"2022-02-04"
"2022-02-21","Congo","COG","AFRO",5518087,-0.135,"1.1%",0,"Minimal",-0.155,-0.116,"3.2%","0.5%","increasing","2022-02-13","2022-02-06",11.3,10.6,"2021-12-28"
"2022-02-21","Côte d'Ivoire","CIV","AFRO",26378274,-0.032,"3.0%",0,"Minimal",-0.044,-0.021,"36.7%","26.8%","increasing","2022-01-30","2022-01-23",21,11.5,"2022-02-11"
"2022-02-21","Democratic Republic of the Congo","COD","AFRO",89561403,-0.119,"1.6%",0,"Minimal",-0.131,-0.107,"3.3%","2.4%","increasing","2022-02-13","2022-02-06",0.5,0.3,"2022-02-09"
"2022-02-21","Equatorial Guinea","GNQ","AFRO",1402985,-0.12,"1.0%",0,"Minimal",-0.153,-0.089,,,,,,17.9,14.6,"2022-01-18"
"2022-02-21","Eritrea","ERI","AFRO",3546421,-0.112,"4.8%",0,"Minimal",-0.134,-0.091,,,,,,,,
"2022-02-21","Eswatini","SWZ","AFRO",1160164,-0.016,"2.6%",0,"Minimal",-0.029,-0.004,"10.7%","4.3%","increasing","2022-02-20","2022-02-13",32.7,29,"2022-02-12"
"2022-02-21","Ethiopia","ETH","AFRO",114963588,-0.082,"2.8%",0,"Minimal",-0.087,-0.077,,,,,,8.8,1.6,"2022-02-16"
"2022-02-21","Gabon","GAB","AFRO",2225734,-0.132,"2.2%",0,"Minimal",-0.143,-0.121,"2.4%","10.9%","decreasing","2022-02-20","2022-02-13",12.8,10.5,"2022-01-22"
"2022-02-21","Gambia","GMB","AFRO",2416668,-0.205,"1.3%",0,"Minimal",-0.231,-0.181,"1.7%","1.4%","constant","2022-02-13","2022-02-06",13.2,12.6,"2022-01-21"
"2022-02-21","Ghana","GHA","AFRO",31072940,-0.1,"3.0%",0,"Minimal",-0.107,-0.092,,,,,,24.1,14.7,"2022-02-10"
"2022-02-21","Guinea","GIN","AFRO",13132795,-0.074,"2.3%",0,"Minimal",-0.092,-0.057,"1.7%","10.9%","decreasing","2022-02-13","2022-02-06",26.9,14.3,"2022-02-10"
"2022-02-21","Guinea-Bissau","GNB","AFRO",1968001,-0.129,"14.4%",0,"Minimal",-0.145,-0.113,"12.4%","9.4%","constant","2022-02-20","2022-02-13",25.8,17.1,"2022-02-14"
"2022-02-21","Kenya","KEN","AFRO",53771296,-0.082,"1.6%",0,"Minimal",-0.09,-0.074,,,,,,15.4,13.3,"2022-02-15"
"2022-02-21","Lesotho","LSO","AFRO",2142249,-0.028,"1.2%",0,"Minimal",-0.045,-0.012,"2.0%","1.4%","constant","2022-02-13","2022-02-06",36.5,34,"2021-12-31"
"2022-02-21","Liberia","LBR","AFRO",5057681,-0.009,"1.2%",0,"Minimal",-0.039,0.021,,,,,,22.1,21.4,"2022-02-10"
"2022-02-21","Madagascar","MDG","AFRO",27691018,-0.019,"27.4%",0,"Minimal",-0.023,-0.014,,,,,,3.5,3.3,"2022-02-05"
"2022-02-21","Malawi","MWI","AFRO",19129952,-0.081,"2.7%",0,"Minimal",-0.092,-0.071,,,,,,7.9,4.1,"2022-02-14"
"2022-02-21","Mali","MLI","AFRO",20250833,,"0.9%",0,,,,"3.2%","4.1%","constant","2022-02-13","2022-02-06",5,3.1,"2022-01-21"
"2022-02-21","Mauritania","MRT","AFRO",4649658,-0.162,"0.7%",0,"Minimal",-0.176,-0.149,"1.0%","7.1%","decreasing","2022-02-20","2022-02-13",32.4,21.7,"2022-02-14"
"2022-02-21","Mauritius","MUS","AFRO",1271768,-0.675,"0.0%",0,"Minimal",-0.75,-0.605,"73.8%","47.0%","increasing","2021-11-07","2021-10-31",74.5,71.5,"2021-12-28"
"2022-02-21","Mayotte","MYT","AFRO",272815,-0.117,"0.2%",0,"Minimal",-0.136,-0.099,,,,,,,,
"2022-02-21","Mozambique","MOZ","AFRO",31255435,-0.1,"1.1%",1,"Minimal",-0.109,-0.092,,,,,,34.4,28.9,"2022-01-28"
"2022-02-21","Namibia","NAM","AFRO",2540905,-0.017,"2.8%",0,"Minimal",-0.025,-0.008,"19.0%","5.2%","increasing","2022-02-20","2022-02-13",16.9,14.4,"2022-02-11"
"2022-02-21","Niger","NER","AFRO",24206644,-0.048,"3.5%",1,"Minimal",-0.078,-0.018,"2.4%","0.8%","increasing","2022-02-20","2022-02-13",6,4.2,"2022-01-31"
"2022-02-21","Nigeria","NGA","AFRO",206139589,-0.034,"2.1%",0,"Minimal",-0.043,-0.026,,,,,,7.2,2.6,"2022-01-29"
"2022-02-21","Réunion","REU","AFRO",895312,0.036,"27.7%",0,"Low",0.035,0.037,,,,,,,,
"2022-02-21","Rwanda","RWA","AFRO",12952218,-0.112,"1.5%",1,"Minimal",-0.124,-0.1,"0.4%","0.3%","constant","2022-02-20","2022-02-13",65.7,53.7,"2022-01-27"
"2022-02-21","Saint Helena","SHN","AFRO",6071,,,,,,,,,,,,71.8,58.2,"2021-05-05"
"2022-02-21","Sao Tome and Principe","STP","AFRO",219159,-0.149,"0.6%",0,"Minimal",-0.198,-0.103,,,,,,40.6,28,"2022-01-17"
"2022-02-21","Senegal","SEN","AFRO",16743927,-0.094,"2.9%",3,"Low",-0.105,-0.083,"3.2%","2.2%","increasing","2022-02-20","2022-02-13",8.5,6,"2022-02-09"
"2022-02-21","Seychelles","SYC","AFRO",98347,-0.072,"11.6%",0,"Minimal",-0.078,-0.066,,,,,,84.8,79.9,"2022-01-18"
"2022-02-21","Sierra Leone","SLE","AFRO",7976983,-0.019,"3.9%",3,"Low",-0.061,0.024,"0.6%","0.5%","constant","2022-02-13","2022-02-06",15.2,9.2,"2022-02-07"
