"assessment_date","country","iso3","region","population","growth_rate","relative_incidence","net_increases","epi_classification","growth_rate_lower","growth_rate_upper","tpr_recent","tpr_before","tpr_change","tpr_last_date_recent","tpr_last_date_before","vac_oneplus_dose_per_100","vac_full_per_100","vaccinations_date"
"2021-11-15","Algeria","DZA","AFRO",43851044,0.021,"7.4%",0,"Minimal",0.013,0.028,,,,,,14.6,11.2,"2021-11-08"
"2021-11-15","Angola","AGO","AFRO",32866272,-0.063,"5.8%",0,"Minimal",-0.073,-0.053,"2.1%","3.4%","decreasing","2021-11-14","2021-11-07",16,6,"2021-11-07"
"2021-11-15","Benin","BEN","AFRO",12123200,-0.094,"0.4%",0,"Minimal",-0.124,-0.066,"0.8%","0.9%","constant","2021-11-07","2021-10-31",2.5,2.2,"2021-11-08"
"2021-11-15","Botswana","BWA","AFRO",2351627,-0.014,"4.8%",0,"Minimal",-0.017,-0.01,,,,,,32.8,15.2,"2021-11-10"
"2021-11-15","Burkina Faso","BFA","AFRO",20903273,0.053,"13.3%",1,"Low",0.038,0.069,"19.5%","7.3%","increasing","2021-10-24","2021-10-17",1.7,1.4,"2021-11-04"
"2021-11-15","Burundi","BDI","AFRO",11890784,-0.033,"3.3%",0,"Minimal",-0.052,-0.014,"1.1%","0.7%","constant","2021-11-14","2021-11-07",0,0,"2021-11-10"
"2021-11-15","Cabo Verde","CPV","AFRO",555987,-0.03,"2.2%",1,"Minimal",-0.056,-0.005,"2.0%","1.4%","constant","2021-11-14","2021-11-07",53.2,41.6,"2021-11-10"
"2021-11-15","Cameroon","CMR","AFRO",26545863,-0.046,"15.3%",0,"Minimal",-0.051,-0.042,,,,,,1.6,0.6,"2021-11-11"
"2021-11-15","Central African Republic","CAF","AFRO",4829767,0.075,"2.2%",1,"Low",0.047,0.104,"19.9%","0.0%","increasing","2021-11-14","2021-11-07",7.5,6.7,"2021-11-07"
"2021-11-15","Chad","TCD","AFRO",16425864,,,,,,,"0.6%","0.9%","constant","2021-10-17","2021-10-10",1,0.4,"2021-11-07"
"2021-11-15","Comoros","COM","AFRO",869601,0.012,"8.1%",0,"Minimal",-0.013,0.037,,,,,,31.5,20.6,"2021-11-03"
"2021-11-15","Congo","COG","AFRO",5518087,-0.029,"38.7%",1,"Minimal",-0.037,-0.021,"13.4%","4.9%","increasing","2021-11-14","2021-11-07",7.7,2.3,"2021-11-10"
"2021-11-15","Côte d'Ivoire","CIV","AFRO",26378274,0.008,"2.8%",1,"Minimal",-0.01,0.026,"0.7%","0.8%","constant","2021-11-07","2021-10-31",9.4,4,"2021-11-09"
"2021-11-15","Democratic Republic of the Congo","COD","AFRO",89561403,0.011,"3.5%",0,"Minimal",-0.008,0.03,"13.5%","9.6%","increasing","2021-08-15","2021-08-08",0.1,0,"2021-11-09"
"2021-11-15","Equatorial Guinea","GNQ","AFRO",1402985,-0.086,"2.1%",0,"Minimal",-0.106,-0.066,,,,,,17.4,13.8,"2021-11-10"
"2021-11-15","Eritrea","ERI","AFRO",3546421,0.069,"17.4%",0,"Low",0.048,0.09,,,,,,,,
"2021-11-15","Eswatini","SWZ","AFRO",1160164,-0.022,"0.3%",0,"Minimal",-0.057,0.012,,,,,,21.4,20.7,"2021-11-08"
