"assessment_date","country","iso3","region","population","growth_rate","relative_incidence","net_increases","epi_classification","growth_rate_lower","growth_rate_upper","tpr_recent","tpr_before","tpr_change","tpr_last_date_recent","tpr_last_date_before","vac_oneplus_dose_per_100","vac_full_per_100","vaccinations_date"
"2021-10-18","Algeria","DZA","AFRO",43851044,-0.028,"6.6%",0,"Minimal",-0.034,-0.021,,,,,,13.7,9.2,"2021-09-25"
"2021-10-18","Angola","AGO","AFRO",32866272,-0.048,"36.3%",0,"Minimal",-0.052,-0.045,"10.7%","30.6%","decreasing","2021-10-17","2021-10-10",9.6,3.9,"2021-10-14"
"2021-10-18","Benin","BEN","AFRO",12123200,-0.103,"3.9%",0,"Minimal",-0.112,-0.094,"4.5%","11.2%","decreasing","2021-10-10","2021-10-03",1.8,1.5,"2021-10-12"
"2021-10-18","Botswana","BWA","AFRO",2351627,-0.066,"8.9%",0,"Minimal",-0.071,-0.062,,,,,,22.4,11,"2021-10-14"
"2021-10-18","Burkina Faso","BFA","AFRO",20903273,0.021,"17.1%",0,"Minimal",0.007,0.035,"12.0%","4.8%","increasing","2021-10-17","2021-10-10",1.3,1,"2021-10-09"
"2021-10-18","Burundi","BDI","AFRO",11890784,-0.049,"18.6%",0,"Minimal",-0.056,-0.042,"2.9%","3.3%","constant","2021-10-17","2021-10-10",,,
"2021-10-18","Cabo Verde","CPV","AFRO",555987,-0.014,"7.0%",0,"Minimal",-0.027,-0.001,"5.1%","10.2%","decreasing","2021-10-17","2021-10-10",52.3,29.9,"2021-10-09"
"2021-10-18","Cameroon","CMR","AFRO",26545863,-0.089,"33.6%",0,"Minimal",-0.092,-0.086,,,,,,1.5,0.5,"2021-10-11"
"2021-10-18","Central African Republic","CAF","AFRO",4829767,0.123,"1.9%",1,"Medium",0.087,0.16,"50.3%","3.2%","increasing","2021-10-17","2021-10-10",5.1,0.2,"2021-10-14"
"2021-10-18","Chad","TCD","AFRO",16425864,,,,,,,"0.6%","0.9%","constant","2021-10-17","2021-10-10",0.9,0.2,"2021-10-11"
